movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
,Hellboy 2 The Golden Army,right_only,Hellboy 2 The Golden Army,,left_only
Hellraiser,Hellraiser,both,Hellraiser,Hellraiser,both
,Hellraiser 3 Hell On Earth,right_only,Hellraiser 3 Hell On Earth,,left_only
Hellraiser Deader,Hellraiser Deader,both,Hellraiser Deader,,left_only
Hellraiser Hellseeker,Hellraiser Hellseeker,both,Hellraiser Hellseeker,,left_only
,Henry Fool,right_only,Henry Fool,Henry Fool,both
,Henrys Crime,right_only,Henrys Crime,,left_only
Her,Her,both,Her,,left_only
,Here Comes Peter Cottontail,right_only,Here Comes Peter Cottontail,,left_only
Hereditary,,left_only,Hereditary,,left_only
,,,,Hero,right_only
,,,,Heros Genesis,right_only
,Hes Just Not That Into You,right_only,Hes Just Not That Into You,Hes Just Not That Into You,both
,Hesher,right_only,Hesher,,left_only
Hidden Figures,,left_only,Hidden Figures,,left_only
,,,,Hider In The House,right_only
High Fidelity,High Fidelity,both,High Fidelity,High Fidelity,both
High Noon,,left_only,High Noon,High Noon,both
,Highlander,right_only,Highlander,,left_only
Highlander 2 The Quickening,,left_only,Highlander 2 The Quickening,,left_only
,,,,Highlander 4,right_only
,Highlander Endgame,right_only,Highlander Endgame,,left_only
,His Girl Friday,right_only,His Girl Friday,His Girl Friday,both
Hitchcock,Hitchcock,both,Hitchcock,,left_only
,,,,Hitchhikers Guide To The Galaxy,right_only
,,,,Hitman,right_only
Hocus Pocus,,left_only,Hocus Pocus,,left_only
Hold The Dark,,left_only,Hold The Dark,,left_only
Hollow Man,Hollow Man,both,Hollow Man,,left_only
Home Alone,,left_only,Home Alone,,left_only
Home Alone 2 Lost In New York,,left_only,Home Alone 2 Lost In New York,,left_only
Honey Boy,,left_only,Honey Boy,,left_only
Honey I Blew Up The Kid,,left_only,Honey I Blew Up The Kid,,left_only
Honey I Shrunk The Kids,,left_only,Honey I Shrunk The Kids,,left_only
,Honeydripper,right_only,Honeydripper,,left_only
,,,,Hope And Glory,right_only
,,,,Hope And Glory,right_only
Horrible Bosses,Horrible Bosses,both,Horrible Bosses,,left_only
Horrible Bosses 2,,left_only,Horrible Bosses 2,,left_only
,Hostage,right_only,Hostage,Hostage,both
Hostel,,left_only,Hostel,,left_only
Hot Fuzz,,left_only,Hot Fuzz,,left_only
,Hot Tub Time Machine,right_only,Hot Tub Time Machine,,left_only
,Hotel Rwanda,right_only,Hotel Rwanda,Hotel Rwanda,both
,House Of 1000 Corpses,right_only,House Of 1000 Corpses,House Of 1000 Corpses,both
House Of Gucci,,left_only,House Of Gucci,,left_only
,,,,House On Haunted Hill,right_only
House Party,,left_only,House Party,,left_only
How The Grinch Stole Christmas,,left_only,How The Grinch Stole Christmas,,left_only
How To Build A Girl,,left_only,How To Build A Girl,,left_only
,How To Lose Friends & Alienate People,right_only,How To Lose Friends & Alienate People,,left_only
How To Train Your Dragon,How To Train Your Dragon,both,How To Train Your Dragon,,left_only
How To Train Your Dragon 2,How To Train Your Dragon 2,both,How To Train Your Dragon 2,How To Train Your Dragon 2,both
How To Train Your Dragon The Hidden World,,left_only,How To Train Your Dragon The Hidden World,,left_only
Howard The Duck,,left_only,Howard The Duck,,left_only
,Hudson Hawk,right_only,Hudson Hawk,Hudson Hawk,both
Hugo,,left_only,Hugo,,left_only
,Human Nature,right_only,Human Nature,Human Nature,both
Hustle & Flow,,left_only,Hustle & Flow,Hustle & Flow,both
Hustlers,,left_only,Hustlers,,left_only
,,,,I Am Legend (omega Man),right_only
,I Am Number Four,right_only,I Am Number Four,,left_only
,I Am Sam,right_only,I Am Sam,I Am Sam,both
I Dont Feel At Home In This World Anymore,,left_only,I Dont Feel At Home In This World Anymore,,left_only
I Love You Man,,left_only,I Love You Man,,left_only
,I Love You Phillip Morris,right_only,I Love You Phillip Morris,,left_only
,I Robot,right_only,I Robot,I Robot,both
I Saw The Light,,left_only,I Saw The Light,I Saw The Light,both
,I Spit On Your Grave,right_only,I Spit On Your Grave,,left_only
,I Still Know What You Did Last Summer,right_only,I Still Know What You Did Last Summer,,left_only
,,,,I Think I Love My Wife,right_only
I Think Were Alone Now,,left_only,I Think Were Alone Now,,left_only
I Tonya,,left_only,I Tonya,,left_only
,,,,I Walked With A Zombie,right_only
Identity,,left_only,Identity,,left_only
,,,,Ides Of March,right_only
If Beale Street Could Talk,,left_only,If Beale Street Could Talk,If Beale Street Could Talk,both
,Ill Do Anything,right_only,Ill Do Anything,Ill Do Anything,both
Im Thinking Of Ending Things,,left_only,Im Thinking Of Ending Things,,left_only
In Bruges,,left_only,In Bruges,,left_only
In Fabric,,left_only,In Fabric,,left_only
,In The Bedroom,right_only,In The Bedroom,,left_only
,In The Loop,right_only,In The Loop,,left_only
In The Tall Grass,,left_only,In The Tall Grass,,left_only
Inception,Inception,both,Inception,,left_only
Indecent Proposal,,left_only,Indecent Proposal,,left_only
Independence Day,Independence Day,both,Independence Day,Independence Day,both
,Indiana Jones 4,right_only,Indiana Jones 4,,left_only
Indiana Jones And The Kingdom Of The Crystal Skull,,left_only,Indiana Jones And The Kingdom Of The Crystal Skull,,left_only
Indiana Jones And The Last Crusade,Indiana Jones And The Last Crusade,both,Indiana Jones And The Last Crusade,Indiana Jones And The Last Crusade,both
,Indiana Jones And The Raiders Of The Lost Ark,right_only,Indiana Jones And The Raiders Of The Lost Ark,Indiana Jones And The Raiders Of The Lost Ark,both
Indiana Jones And The Temple Of Doom,Indiana Jones And The Temple Of Doom,both,Indiana Jones And The Temple Of Doom,Indiana Jones And The Temple Of Doom,both
Infinitely Polar Bear,,left_only,Infinitely Polar Bear,,left_only
Inglourious Basterds,Inglourious Basterds,both,Inglourious Basterds,,left_only
Ingrid Goes West,,left_only,Ingrid Goes West,,left_only
Inherent Vice,,left_only,Inherent Vice,,left_only
Initiation,Initiation,both,Initiation,,left_only
Innerspace,Innerspace,both,Innerspace,Innerspace,both
Inside Llewyn Davis,,left_only,Inside Llewyn Davis,,left_only
,,,,Inside Man,right_only
Inside Out,,left_only,Inside Out,Inside Out,both
Insidious,Insidious,both,Insidious,,left_only
Insidious Chapter 2,,left_only,Insidious Chapter 2,,left_only
Insomnia,Insomnia,both,Insomnia,Insomnia,both
Inspector Gadget,,left_only,Inspector Gadget,,left_only
Interstellar,Interstellar,both,Interstellar,,left_only
Interview With The Vampire,Interview With The Vampire,both,Interview With The Vampire,Interview With The Vampire,both
,Into The Wild,right_only,Into The Wild,,left_only
Into The Woods,Into The Woods,both,Into The Woods,,left_only
,Intolerable Cruelty,right_only,Intolerable Cruelty,Intolerable Cruelty,both
Invasion Of The Body Snatchers,,left_only,Invasion Of The Body Snatchers,,left_only
,Inventing The Abbotts,right_only,Inventing The Abbotts,Inventing The Abbotts,both
,,,,Investigation,right_only
,Invictus,right_only,Invictus,,left_only
Iron Man,,left_only,Iron Man,,left_only
Isle Of Dogs,,left_only,Isle Of Dogs,,left_only
,,,,Isle Of The Dead,right_only
It,It,both,It,,left_only
It Follows,,left_only,It Follows,,left_only
,It Happened One Night,right_only,It Happened One Night,It Happened One Night,both
,It Happened One Night,right_only,It Happened One Night,It Happened One Night,both
Its A Wonderful Life,Its A Wonderful Life,both,Its A Wonderful Life,Its A Wonderful Life,both
Its Complicated,Its Complicated,both,Its Complicated,,left_only
Its Kind Of A Funny Story,,left_only,Its Kind Of A Funny Story,,left_only
Jack Reacher,,left_only,Jack Reacher,,left_only
Jackie,,left_only,Jackie,Jackie,both
Jackie Brown,Jackie Brown,both,Jackie Brown,Jackie Brown,both
Jacobs Ladder,Jacobs Ladder,both,Jacobs Ladder,Jacobs Ladder,both
,Jade,right_only,Jade,Jade,both
Jagged Edge,,left_only,Jagged Edge,,left_only
Jane Eyre,Jane Eyre,both,Jane Eyre,Jane Eyre,both
Jarhead,,left_only,Jarhead,,left_only
Jason Goes To Hell The Final Friday,,left_only,Jason Goes To Hell The Final Friday,,left_only
,Jason X,right_only,Jason X,Jason X,both
Jaws,Jaws,both,Jaws,Jaws,both
Jaws 2,Jaws 2,both,Jaws 2,Jaws 2,both
,Jay And Silent Bob Strike Back,right_only,Jay And Silent Bob Strike Back,Jay And Silent Bob Strike Back,both
,Jennifer Eight,right_only,Jennifer Eight,Jennifer Eight,both
Jennifers Body,Jennifers Body,both,Jennifers Body,,left_only
Jerry Maguire,Jerry Maguire,both,Jerry Maguire,Jerry Maguire,both
,Jeux Interdits,right_only,Jeux Interdits,,left_only
Jfk,Jfk,both,Jfk,Jfk,both
,Jimmy And Judy,right_only,Jimmy And Judy,Jimmy And Judy,both
Jingle All The Way,,left_only,Jingle All The Way,,left_only
Jo Jo Dancer Your Life Is Calling,,left_only,Jo Jo Dancer Your Life Is Calling,,left_only
Jockey,,left_only,Jockey,,left_only
,John Q,right_only,John Q,John Q,both
John Wick,John Wick,both,John Wick,,left_only
John Wick Chapter 4,John Wick Chapter 4,both,John Wick Chapter 4,,left_only
Jojo Rabbit,Jojo Rabbit,both,Jojo Rabbit,,left_only
Joker,Joker,both,Joker,,left_only
Joy,,left_only,Joy,,left_only
Judas And The Black Messiah,,left_only,Judas And The Black Messiah,,left_only
,Judge Dredd,right_only,Judge Dredd,,left_only
Jules,,left_only,Jules,,left_only
Julia,,left_only,Julia,,left_only
Julieta,,left_only,Julieta,Julieta,both
Jumanji,,left_only,Jumanji,,left_only
Juno,Juno,both,Juno,Juno,both
Jurassic Park,Jurassic Park,both,Jurassic Park,Jurassic Park,both
,,,,Jurassic Park 2 The Lost World,right_only
,Jurassic Park 3,right_only,Jurassic Park 3,Jurassic Park 3,both
,Jurassic Park The Lost World,right_only,Jurassic Park The Lost World,,left_only
Just Mercy,,left_only,Just Mercy,,left_only
,,,,K 2,right_only
K Pax,,left_only,K Pax,,left_only
,Kafka,right_only,Kafka,Kafka,both
Kajillionaire,,left_only,Kajillionaire,,left_only
,Kalifornia,right_only,Kalifornia,Kalifornia,both
Karate Kid,,left_only,Karate Kid,,left_only
,Kate & Leopold,right_only,Kate & Leopold,,left_only
,,,,Kate And Leopold,right_only
Kids,Kids,both,Kids,Kids,both
Kill Bill Vol 1,,left_only,Kill Bill Vol 1,,left_only
Kill Bill Vol 2,,left_only,Kill Bill Vol 2,,left_only
,Kill Bill Volume 1 & 2,right_only,Kill Bill Volume 1 & 2,,left_only
Kill The Messenger,,left_only,Kill The Messenger,,left_only
Kill Your Darlings,Kill Your Darlings,both,Kill Your Darlings,Kill Your Darlings,both
Killer Klowns From Outer Space,,left_only,Killer Klowns From Outer Space,,left_only
Killers Of The Flower Moon,Killers Of The Flower Moon,both,Killers Of The Flower Moon,,left_only
,Killing Zoe,right_only,Killing Zoe,,left_only
Kin,,left_only,Kin,,left_only
King Kong,King Kong,both,King Kong,King Kong,both
,,,,King Kong (kong),right_only
King Richard,,left_only,King Richard,,left_only
Kingpin,,left_only,Kingpin,,left_only
Kings Of Summer,,left_only,Kings Of Summer,,left_only
Kingsman The Secret Service,,left_only,Kingsman The Secret Service,,left_only
Kiss Kiss Bang Bang,,left_only,Kiss Kiss Bang Bang,,left_only
,,,,Kiss Kiss Bang Bang (youll Never Die In This Town Again),right_only
Kiss Of The Spider Woman,Kiss Of The Spider Woman,both,Kiss Of The Spider Woman,Kiss Of The Spider Woman,both
,Klute,right_only,Klute,Klute,both
Knight And Day,,left_only,Knight And Day,,left_only
Knives Out,,left_only,Knives Out,,left_only
Knocked Up,Knocked Up,both,Knocked Up,Knocked Up,both
,,,,Kong (king Kong),right_only
Kramer Vs Kramer,Kramer Vs Kramer,both,Kramer Vs Kramer,Kramer Vs Kramer,both
Krampus,,left_only,Krampus,,left_only
Kubo And The Two Strings,,left_only,Kubo And The Two Strings,,left_only
,Kundun,right_only,Kundun,Kundun,both
,Kung Fu Panda,right_only,Kung Fu Panda,,left_only
La Confidential,La Confidential,both,La Confidential,La Confidential,both
La La Land,La La Land,both,La La Land,,left_only
La Story,,left_only,La Story,,left_only
Labor Day,,left_only,Labor Day,,left_only
,Labor Of Love,right_only,Labor Of Love,,left_only
,Labyrinth,right_only,Labyrinth,,left_only
Lady Bird,,left_only,Lady Bird,Lady Bird,both
Lady Chatterleys Lover,,left_only,Lady Chatterleys Lover,,left_only
Ladyhawke,,left_only,Ladyhawke,,left_only
Lake Placid,Lake Placid,both,Lake Placid,Lake Placid,both
Land Of Mine,,left_only,Land Of Mine,Land Of Mine,both
,Land Of The Dead,right_only,Land Of The Dead,Land Of The Dead,both
,Larry Crowne,right_only,Larry Crowne,,left_only
Lars And The Real Girl,,left_only,Lars And The Real Girl,,left_only
,Last Chance Harvey,right_only,Last Chance Harvey,,left_only
,,,,Last Flag Flying,right_only
Last Holiday,,left_only,Last Holiday,,left_only
Last Night In Soho,,left_only,Last Night In Soho,,left_only
,,,,Last Of The Mohicans,right_only
,Last Tango In Paris,right_only,Last Tango In Paris,,left_only
Law Abiding Citizen,Law Abiding Citizen,both,Law Abiding Citizen,,left_only
Lawrence Of Arabia,,left_only,Lawrence Of Arabia,Lawrence Of Arabia,both
,Le Diable Par La Queue,right_only,Le Diable Par La Queue,,left_only
,,,,Le Grand Bleu,right_only
Lean On Me,,left_only,Lean On Me,,left_only
Leave No Trace,,left_only,Leave No Trace,,left_only
Leaving Las Vegas,Leaving Las Vegas,both,Leaving Las Vegas,Leaving Las Vegas,both
Lee Daniels The Butler,,left_only,Lee Daniels The Butler,,left_only
,Legally Blonde,right_only,Legally Blonde,Legally Blonde,both
Legend,Legend,both,Legend,,left_only
Legend,Legend,both,Legend,,left_only
,Legion,right_only,Legion,,left_only
,,,,Legionnaire,right_only
Lenny,,left_only,Lenny,,left_only
Leprechaun,,left_only,Leprechaun,,left_only
Leprechaun 2,Leprechaun 2,both,Leprechaun 2,,left_only
,Les Miserables,right_only,Les Miserables,,left_only
Les Misérables,,left_only,Les Misérables,,left_only
,Les Tontons Flingueurs,right_only,Les Tontons Flingueurs,,left_only
Let Me In,,left_only,Let Me In,,left_only
Lethal Weapon,Lethal Weapon,both,Lethal Weapon,Lethal Weapon,both
Lethal Weapon 2,,left_only,Lethal Weapon 2,Lethal Weapon 2,both
Lethal Weapon 4,Lethal Weapon 4,both,Lethal Weapon 4,Lethal Weapon 4,both
,,,,Letters From Iwo Jima,right_only
,,,,Letters To Juliet,right_only
,Leviathan,right_only,Leviathan,Leviathan,both
Liar Liar,Liar Liar,both,Liar Liar,Liar Liar,both
,,,,Liberty Street (filmed As Life On Liberty Street),right_only
,,,,License To Drive,right_only
License To Kill,,left_only,License To Kill,,left_only
,Life,right_only,Life,Life,both
,Life As A House,right_only,Life As A House,Life As A House,both
Life Itself,,left_only,Life Itself,,left_only
Life Of Pi,Life Of Pi,both,Life Of Pi,,left_only
,,,,Life On Liberty Street (was Liberty Street),right_only
Life Stinks,,left_only,Life Stinks,,left_only
,Light Sleeper,right_only,Light Sleeper,Light Sleeper,both
Lights Out,,left_only,Lights Out,,left_only
Like Father Like Son,,left_only,Like Father Like Son,,left_only
,Limitless,right_only,Limitless,,left_only
Lincoln,Lincoln,both,Lincoln,,left_only
Lion,,left_only,Lion,Lion,both
,Little Athens,right_only,Little Athens,,left_only
,,,,Little Athens ,right_only
,,,,Little Black Book,right_only
,,,,Little Children,right_only
,Little Men,right_only,Little Men,,left_only
Little Miss Sunshine,,left_only,Little Miss Sunshine,Little Miss Sunshine,both
,Little Nicky,right_only,Little Nicky,Little Nicky,both
Little Shop Of Horrors,,left_only,Little Shop Of Horrors,,left_only
Little Women,,left_only,Little Women,,left_only
Live And Let Die,,left_only,Live And Let Die,,left_only
Live By Night,,left_only,Live By Night,,left_only
Live Free Or Die Hard,,left_only,Live Free Or Die Hard,,left_only
Living,,left_only,Living,,left_only
,Living In Oblivion,right_only,Living In Oblivion,Living In Oblivion,both
Lock Stock And Two Smoking Barrels,Lock Stock And Two Smoking Barrels,both,Lock Stock And Two Smoking Barrels,,left_only
Locke,,left_only,Locke,Locke,both
Logan,Logan,both,Logan,,left_only
,Logans Run,right_only,Logans Run,Logans Run,both
,Lone Star,right_only,Lone Star,Lone Star,both
Lone Survivor,,left_only,Lone Survivor,,left_only
,,,,Long Kiss Goodnight,right_only
,,,,Looking For The Man,right_only
Looney Tunes Back In Action,,left_only,Looney Tunes Back In Action,,left_only
Looper,Looper,both,Looper,,left_only
,Lord Of Illusions,right_only,Lord Of Illusions,Lord Of Illusions,both
,Lord Of The Rings Return Of The King,right_only,Lord Of The Rings Return Of The King,,left_only
,Lord Of The Rings The Two Towers,right_only,Lord Of The Rings The Two Towers,,left_only
,Lord Of War,right_only,Lord Of War,,left_only
Lost Highway,Lost Highway,both,Lost Highway,Lost Highway,both
,Lost Horizon,right_only,Lost Horizon,Lost Horizon,both
,Lost In Space,right_only,Lost In Space,,left_only
Lost In Translation,Lost In Translation,both,Lost In Translation,Lost In Translation,both
Love & Other Drugs,,left_only,Love & Other Drugs,,left_only
Love Actually,,left_only,Love Actually,Love Actually,both
,Love And Basketball,right_only,Love And Basketball,Love And Basketball,both
Love And Friendship,,left_only,Love And Friendship,Love And Friendship,both
Love Is Strange,,left_only,Love Is Strange,,left_only
Love Simon,,left_only,Love Simon,,left_only
Loving,,left_only,Loving,,left_only
Luca,,left_only,Luca,,left_only
Lucky Number Slevin,,left_only,Lucky Number Slevin,,left_only
Lucy,,left_only,Lucy,,left_only
Lucy In The Sky,,left_only,Lucy In The Sky,,left_only
,,,,M*a*s*h,right_only
,,,,Macbeth,right_only
Macgruber,,left_only,Macgruber,Macgruber,both
,Machete,right_only,Machete,,left_only
,Machine Gun Preacher,right_only,Machine Gun Preacher,,left_only
,Mad Max 2 The Road Warrior,right_only,Mad Max 2 The Road Warrior,,left_only
Mad Max Fury Road,,left_only,Mad Max Fury Road,,left_only
,Made,right_only,Made,Made,both
,,,,Made For Each Other,right_only
Made In Heaven,,left_only,Made In Heaven,,left_only
,,,,Maersk Alabama (filmed As Captain Phillips),right_only
Maestro,Maestro,both,Maestro,,left_only
Maggies Plan,,left_only,Maggies Plan,Maggies Plan,both
Magnolia,Magnolia,both,Magnolia,Magnolia,both
,Major League,right_only,Major League,Major League,both
Malcolm & Marie,,left_only,Malcolm & Marie,,left_only
Malcolm X,Malcolm X,both,Malcolm X,Malcolm X,both
Malibus Most Wanted,Malibus Most Wanted,both,Malibus Most Wanted,Malibus Most Wanted,both
Malignant,Malignant,both,Malignant,,left_only
Mallrats,,left_only,Mallrats,,left_only
,Man In The Iron Mask,right_only,Man In The Iron Mask,Man In The Iron Mask,both
Man On A Ledge,,left_only,Man On A Ledge,,left_only
Man On Fire,Man On Fire,both,Man On Fire,Man On Fire,both
Man On Fire,Man On Fire,both,Man On Fire,Man On Fire,both
Man On The Moon,Man On The Moon,both,Man On The Moon,,left_only
,,,,Man Plus,right_only
,Man Trouble,right_only,Man Trouble,Man Trouble,both
,,,,Mandingo,right_only
Mandy,,left_only,Mandy,,left_only
,Manhattan Murder Mystery,right_only,Manhattan Murder Mystery,,left_only
,Manhunter,right_only,Manhunter,Manhunter,both
,,,,Manhunter (red Dragon),right_only
Maniac Cop,,left_only,Maniac Cop,,left_only
Mank,,left_only,Mank,,left_only
,Margaret,right_only,Margaret,,left_only
Margin Call,Margin Call,both,Margin Call,,left_only
,Margot At The Wedding,right_only,Margot At The Wedding,,left_only
Maria,,left_only,Maria,,left_only
Maria Full Of Grace,,left_only,Maria Full Of Grace,,left_only
,,,,Maria Full Of Grace ,right_only
,Mariachi El,right_only,Mariachi El,,left_only
,Marley & Me,right_only,Marley & Me,,left_only
Marriage Story,,left_only,Marriage Story,,left_only
Mars Attacks,,left_only,Mars Attacks,,left_only
,Martha Marcy May Marlene,right_only,Martha Marcy May Marlene,,left_only
,Marty,right_only,Marty,Marty,both
Martyrs,,left_only,Martyrs,,left_only
Mary Poppins,Mary Poppins,both,Mary Poppins,,left_only
Mary Poppins Returns,,left_only,Mary Poppins Returns,,left_only
Mary Queen Of Scots,,left_only,Mary Queen Of Scots,,left_only
Mary Shelleys Frankenstein,,left_only,Mary Shelleys Frankenstein,,left_only
Mass,,left_only,Mass,,left_only
Master,,left_only,Master,,left_only
,Master And Commander,right_only,Master And Commander,,left_only
Match Point,,left_only,Match Point,,left_only
,Matchstick Men,right_only,Matchstick Men,Matchstick Men,both
Maudie,,left_only,Maudie,,left_only
,,,,Maverick,right_only
,Max Payne,right_only,Max Payne,,left_only
,,,,Max Payne ,right_only
May December,May December,both,May December,,left_only
Me And Earl And The Dying Girl,,left_only,Me And Earl And The Dying Girl,Me And Earl And The Dying Girl,both
Me Him Her,,left_only,Me Him Her,,left_only
Mean Girls,,left_only,Mean Girls,Mean Girls,both
Mean Streets,Mean Streets,both,Mean Streets,,left_only
,,,,Mean Streets (season Of The Witch),right_only
Meatballs,,left_only,Meatballs,,left_only
,Meet Joe Black,right_only,Meet Joe Black,,left_only
,Meet John Doe,right_only,Meet John Doe,Meet John Doe,both
Megamind,Megamind,both,Megamind,,left_only
Memento,Memento,both,Memento,Memento,both
Memoirs Of A Geisha,,left_only,Memoirs Of A Geisha,,left_only
Memories Of Murder,,left_only,Memories Of Murder,,left_only
Memory,Memory,both,Memory,,left_only
,,,,Memphis Belle,right_only
Men In Black,Men In Black,both,Men In Black,Men In Black,both
,Men In Black 3,right_only,Men In Black 3,Men In Black 3,both
Menace 2 Society,,left_only,Menace 2 Society,,left_only
,Metro,right_only,Metro,Metro,both
,Miami Vice,right_only,Miami Vice,Miami Vice,both
Michael Clayton,,left_only,Michael Clayton,,left_only
Mid90s,,left_only,Mid90s,,left_only
Midnight Cowboy,Midnight Cowboy,both,Midnight Cowboy,Midnight Cowboy,both
,Midnight Express,right_only,Midnight Express,Midnight Express,both
Midnight In Paris,Midnight In Paris,both,Midnight In Paris,,left_only
Midnight Run,,left_only,Midnight Run,Midnight Run,both
Midsommar,,left_only,Midsommar,,left_only
Midway,,left_only,Midway,,left_only
,Mighty Joe Young,right_only,Mighty Joe Young,Mighty Joe Young,both
,,,,Mighty Morphin Power Rangers,right_only
,Mighty Morphin Power Rangers The Movie,right_only,Mighty Morphin Power Rangers The Movie,,left_only
Mikey And Nicky,,left_only,Mikey And Nicky,,left_only
Miles Ahead,,left_only,Miles Ahead,Miles Ahead,both
,Milk,right_only,Milk,,left_only
,Millers Crossing,right_only,Millers Crossing,Millers Crossing,both
Millers Girl,Millers Girl,both,Millers Girl,,left_only
Million Dollar Baby,,left_only,Million Dollar Baby,,left_only
Mimic,Mimic,both,Mimic,Mimic,both
Minari,,left_only,Minari,,left_only
,Minis First Time,right_only,Minis First Time,Minis First Time,both
Minority Report,Minority Report,both,Minority Report,Minority Report,both
,Mirrors,right_only,Mirrors,,left_only
Misery,Misery,both,Misery,Misery,both
Miss Congeniality,,left_only,Miss Congeniality,,left_only
Miss Sloane,,left_only,Miss Sloane,,left_only
Mission Impossible,Mission Impossible,both,Mission Impossible,Mission Impossible,both
Mission Impossible 2,Mission Impossible 2,both,Mission Impossible 2,Mission Impossible 2,both
Mission Impossible 3,,left_only,Mission Impossible 3,,left_only
Mission Impossible Fallout,,left_only,Mission Impossible Fallout,,left_only
Mission Impossible Rogue Nation,,left_only,Mission Impossible Rogue Nation,,left_only
,Mission To Mars,right_only,Mission To Mars,Mission To Mars,both
,,,,Mississippi Grind,right_only
,,,,Mistress America,right_only
,,,,Mobsters,right_only
Mollys Game,,left_only,Mollys Game,,left_only
Moneyball,Moneyball,both,Moneyball,,left_only
,Monkeybone,right_only,Monkeybone,Monkeybone,both
Monster,,left_only,Monster,,left_only
Monsters Ball,Monsters Ball,both,Monsters Ball,Monsters Ball,both
Monsters Inc,,left_only,Monsters Inc,,left_only
Monsters University,,left_only,Monsters University,,left_only
,Monte Carlo,right_only,Monte Carlo,,left_only
Moon,Moon,both,Moon,,left_only
Moonlight,,left_only,Moonlight,Moonlight,both
Moonrise Kingdom,Moonrise Kingdom,both,Moonrise Kingdom,,left_only
Moonstruck,Moonstruck,both,Moonstruck,Moonstruck,both
Mother,,left_only,Mother,Mother,both
Motherless Brooklyn,,left_only,Motherless Brooklyn,,left_only
Moulin Rouge,,left_only,Moulin Rouge,,left_only
Mr & Mrs Smith,,left_only,Mr & Mrs Smith,,left_only
,Mr Blandings Builds His Dream House,right_only,Mr Blandings Builds His Dream House,Mr Blandings Builds His Dream House,both
,Mr Brooks,right_only,Mr Brooks,,left_only
,Mr Deeds Goes To Town,right_only,Mr Deeds Goes To Town,Mr Deeds Goes To Town,both
Mr Hollands Opus,Mr Hollands Opus,both,Mr Hollands Opus,Mr Hollands Opus,both
Mr Mom,,left_only,Mr Mom,,left_only
Mr Nobody,,left_only,Mr Nobody,,left_only
Mr Right,,left_only,Mr Right,,left_only
,,,,Mr Smith Goes To Washington,right_only
,,,,Mr Smith Goes To Washington,right_only
Mr Turner,,left_only,Mr Turner,,left_only
,Mrs Brown,right_only,Mrs Brown,Mrs Brown,both
Mud,Mud,both,Mud,,left_only
Mudbound,,left_only,Mudbound,,left_only
Mulan,Mulan,both,Mulan,,left_only
Mulholland Dr,,left_only,Mulholland Dr,,left_only
,Mulholland Drive,right_only,Mulholland Drive,Mulholland Drive,both
,Mumford,right_only,Mumford,Mumford,both
,,,,Munich,right_only
Murder On The Orient Express,,left_only,Murder On The Orient Express,,left_only
,Music Of The Heart,right_only,Music Of The Heart,,left_only
,,,,Music Of The Heart (fifty Violins),right_only
,Mute Witness,right_only,Mute Witness,,left_only
,My Best Friends Wedding,right_only,My Best Friends Wedding,,left_only
My Big Fat Greek Wedding 2,,left_only,My Big Fat Greek Wedding 2,,left_only
My Cousin Vinny,,left_only,My Cousin Vinny,,left_only
My Demon Lover,,left_only,My Demon Lover,,left_only
My Friend Dahmer,,left_only,My Friend Dahmer,,left_only
,My Girl,right_only,My Girl,,left_only
,My Mother Dreams The Satans Disciples In New York,right_only,My Mother Dreams The Satans Disciples In New York,My Mother Dreams The Satans Disciples In New York,both
My Old Ass,,left_only,My Old Ass,,left_only
My Policeman,,left_only,My Policeman,,left_only
My Week With Marilyn,My Week With Marilyn,both,My Week With Marilyn,,left_only
Mystery Men,Mystery Men,both,Mystery Men,Mystery Men,both
,,,,Naked City,right_only
Naked Gun 33 1/3 The Final Insult,,left_only,Naked Gun 33 1/3 The Final Insult,,left_only
Nanny,,left_only,Nanny,,left_only
Napoleon,Napoleon,both,Napoleon,,left_only
Napoleon Dynamite,Napoleon Dynamite,both,Napoleon Dynamite,,left_only
,Nashville,right_only,Nashville,Nashville,both
National Lampoons Animal House,,left_only,National Lampoons Animal House,,left_only
National Lampoons Christmas Vacation,,left_only,National Lampoons Christmas Vacation,,left_only
National Lampoons European Vacation,,left_only,National Lampoons European Vacation,,left_only
National Lampoons Vacation,,left_only,National Lampoons Vacation,,left_only
National Treasure,,left_only,National Treasure,,left_only
Natural Born Killers,Natural Born Killers,both,Natural Born Killers,Natural Born Killers,both
Near Dark,,left_only,Near Dark,Near Dark,both
Nebraska,,left_only,Nebraska,,left_only
Nell,,left_only,Nell,,left_only
Network,,left_only,Network,,left_only
,Never Been Kissed,right_only,Never Been Kissed,Never Been Kissed,both
Never Look Away,,left_only,Never Look Away,,left_only
Never Rarely Sometimes Always,,left_only,Never Rarely Sometimes Always,,left_only
New Jack City,,left_only,New Jack City,,left_only
,,,,New Nightmare,right_only
,New York Minute,right_only,New York Minute,New York Minute,both
,Newsies,right_only,Newsies,Newsies,both
,Next,right_only,Next,Next,both
,Next Friday,right_only,Next Friday,Next Friday,both
,Ni Vu Ni Connu,right_only,Ni Vu Ni Connu,,left_only
Nick And Norahs Infinite Playlist,,left_only,Nick And Norahs Infinite Playlist,,left_only
