movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
Another 48 Hrs,,left_only,Another 48 Hrs,,left_only
Another Year,,left_only,Another Year,,left_only
Antebellum,,left_only,Antebellum,,left_only
Anthropoid,,left_only,Anthropoid,,left_only
,Antitrust,right_only,Antitrust,Antitrust,both
,Antz,right_only,Antz,Antz,both
Any Given Sunday,,left_only,Any Given Sunday,Any Given Sunday,both
,,,,Apache Drums,right_only
Apocalypse Now,Apocalypse Now,both,Apocalypse Now,Apocalypse Now,both
,,,,Apocalypse Now Redux,right_only
,Apollo 13,right_only,Apollo 13,,left_only
,April Fools Day,right_only,April Fools Day,,left_only
,Apt Pupil,right_only,Apt Pupil,Apt Pupil,both
,,,,Arac Attack (released As Eight Legged Freaks),right_only
,Arbitrage,right_only,Arbitrage,,left_only
,Arcade,right_only,Arcade,,left_only
,Arctic Blue,right_only,Arctic Blue,,left_only
Argentina 1985,,left_only,Argentina 1985,,left_only
Argo,Argo,both,Argo,,left_only
Armageddon,Armageddon,both,Armageddon,,left_only
Armageddon Time,,left_only,Armageddon Time,,left_only
Armed And Dangerous,,left_only,Armed And Dangerous,,left_only
,,,,Armstrong (filmed As First Man),right_only
Army Of Darkness,Army Of Darkness,both,Army Of Darkness,,left_only
Arrival,,left_only,Arrival,Arrival,both
,Arsenic And Old Lace,right_only,Arsenic And Old Lace,,left_only
,Arthur,right_only,Arthur,,left_only
As Good As It Gets,As Good As It Gets,both,As Good As It Gets,As Good As It Gets,both
,,,,As Good As It Gets ,right_only
Ask The Dust,,left_only,Ask The Dust,,left_only
Assassination Nation,,left_only,Assassination Nation,,left_only
,Assassins,right_only,Assassins,Assassins,both
Assault On Precinct 13,,left_only,Assault On Precinct 13,,left_only
Asteroid City,Asteroid City,both,Asteroid City,,left_only
,,,,Asylum (batman Vs Superman),right_only
,At First Sight,right_only,At First Sight,At First Sight,both
Atomic Blonde,,left_only,Atomic Blonde,,left_only
Attack The Block,,left_only,Attack The Block,,left_only
Audrey Rose,,left_only,Audrey Rose,,left_only
August Osage County,August Osage County,both,August Osage County,,left_only
,,,,Austin Powers 2 The Spy Who Shagged Me,right_only
,Austin Powers International Man Of Mystery,right_only,Austin Powers International Man Of Mystery,Austin Powers International Man Of Mystery,both
