name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
Austin Powers - The Spy Who Shagged Me,Austin Powers The Spy Who Shagged Me,,,,,left_only,,,
Authors Anonymous,Authors Anonymous,,,,,left_only,,,
Autumn in New York,Autumn In New York,Autumn In New York,https://www.dailyscript.com/scripts/Autumn%20In%20New%20York.txt,txt,Autumn In New York,both,,,
Avatar,Avatar,,,,,left_only,,,
Avengers: Endgame,Avengers Endgame,,,,,left_only,,,
"Avventura, L' (The Adventure)",Avventura L (the Adventure),,,,,left_only,,,
Awakenings,Awakenings,Awakenings,https://www.dailyscript.com/scripts/awakenings_lite.pdf,pdf,Awakenings,both,,,
Babel,Babel,Babel,https://www.dailyscript.com/scripts/Babel.pdf,pdf,Babel,both,,,
Bachelor Party,Bachelor Party,Bachelor Party,https://www.dailyscript.com/scripts/Bachelor%20Party.txt,txt,Bachelor Party,both,,,
Back to the Future,Back To The Future,,,,,left_only,Back to the Future,HTML len = 0 : no content scrapped,Back To The Future
Back to the Future II & III,Back To The Future 2 & 3,,,,,left_only,Back to the Future II & III,HTML len = 0 : no content scrapped,Back To The Future 2 & 3
Backdraft,Backdraft,Backdraft,https://www.dailyscript.com/scripts/Backdraft%20(1991).txt,txt,Backdraft,both,,,
Bad Boys,Bad Boys,Bad Boys,https://www.dailyscript.com/scripts/bad_boys.pdf,pdf,Bad Boys,both,,,
Bad Country,Bad Country,,,,,left_only,,,
Bad Day at Black Rock,Bad Day At Black Rock,Bad Day At Black Rock,https://www.dailyscript.com/scripts/Bad%20Day%20At%20Black%20Rock.txt,txt,Bad Day At Black Rock,both,,,
Bad Dreams,Bad Dreams,,,,,left_only,,,
Bad Lieutenant,Bad Lieutenant,Bad Lieutenant,https://www.dailyscript.com/scripts/badlieu.pdf,pdf,Bad Lieutenant,both,,,
Bad Santa,Bad Santa,Bad Santa,https://www.dailyscript.com/scripts/Bad%20Santa.txt,txt,Bad Santa,both,,,
Bad Teacher,Bad Teacher,,,,,left_only,,,
Badlands,Badlands,Badlands,https://www.dailyscript.com/scripts/Badlands.txt,txt,Badlands,both,,,
Bamboozled,Bamboozled,,,,,left_only,,,
Barbie,Barbie,,,,,left_only,,,
Barry Lyndon,Barry Lyndon,Barry Lyndon,https://www.dailyscript.com/scripts/BarryLyndon.html,html,Barry Lyndon,both,,,
Barton Fink,Barton Fink,Barton Fink,https://www.dailyscript.com/scripts/Barton%20Fink.txt,txt,Barton Fink,both,,,
Basic,Basic,Basic,https://www.dailyscript.com/scripts/Basic.txt,txt,Basic,both,,,
Basic Instinct,Basic Instinct,Basic Instinct,https://www.dailyscript.com/scripts/basic_instinct.html,html,Basic Instinct,both,,,
Basquiat,Basquiat,,,,,left_only,,,
Batman,Batman,Batman,https://www.dailyscript.com/scripts/batman_early.html,html,Batman,both,,,
Batman 2,Batman 2,,,,,left_only,,,
Batman and Robin,Batman And Robin,,,,,left_only,Batman and Robin,"Webstatus : 404
",Batman And Robin
Batman Begins,Batman Begins,Batman Begins,https://www.dailyscript.com/scripts/Batman-Begins.pdf,pdf,Batman Begins,both,Batman Begins,"Webstatus : 404
",Batman Begins
Batman Forever,Batman Forever,Batman Forever,https://www.dailyscript.com/scripts/batman_forever.html,html,Batman Forever,both,Batman Forever,"Webstatus : 404
",Batman Forever
Batman Returns,Batman Returns,Batman Returns,https://www.dailyscript.com/scripts/batman-returns_early.html,html,Batman Returns,both,Batman Returns,"Webstatus : 404
",Batman Returns
Battle: Los Angeles,Battle Los Angeles,,,,,left_only,,,
Bean,Bean,,,,,left_only,,,
Beasts of No Nation,Beasts Of No Nation,,,,,left_only,,,
Beasts of the Southern Wild,Beasts Of The Southern Wild,,,,,left_only,,,
Beauty and the Beast,Beauty And The Beast,,,,,left_only,,,
Beavis and Butt-head Do America,Beavis And Butt Head Do America,Beavis and Butt-head Do America,https://www.dailyscript.com/scripts/beavis_and_butthead_do_america.html,html,Beavis And Butt Head Do America,both,,,
Beginners,Beginners,,,,,left_only,,,
Being Human,Being Human,Being Human,https://www.dailyscript.com/scripts/Being_Human.PDF,pdf,Being Human,both,,,
Being John Malkovich,Being John Malkovich,Being John Malkovich,https://www.dailyscript.com/scripts/beingjohnmalkovich.html,html,Being John Malkovich,both,,,
Being the Ricardos,Being The Ricardos,,,,,left_only,,,
Being There,Being There,Being There,https://www.dailyscript.com/scripts/being_there_1_10_79.html,html,Being There,both,,,
Belle,Belle,Belle,https://www.dailyscript.com/scripts/FSP3827_BELLE_SCRIPT_BOOK_C6a.pdf,pdf,Belle,both,,,
Beloved,Beloved,Beloved,https://www.dailyscript.com/scripts/beloved_lagravenese.html,html,Beloved,both,,,
Benny & Joon,Benny & Joon,,,,,left_only,Benny & Joon,HTML len = 0 : no content scrapped,Benny & Joon
Big,Big,,,,,left_only,,,
Big Eyes,Big Eyes,Big Eyes,https://www.dailyscript.com/scripts/ScreenplayBigEyes.pdf,pdf,Big Eyes,both,,,
Big Fish,Big Fish,,,,,left_only,,,
Birdman,Birdman,Birdman,https://www.dailyscript.com/scripts/FSP3823_BiRDMAN_MINI_SCRIPT_BOOK_C5.pdf,pdf,Birdman,both,,,
Birthday Girl,Birthday Girl,Birthday Girl,https://www.dailyscript.com/scripts/Birthday+Girl.txt,txt,Birthday Girl,both,,,
Black Panther,Black Panther,,,,,left_only,,,
Black Rain,Black Rain,Black Rain,https://www.dailyscript.com/scripts/black_rain.html,html,Black Rain,both,,,
Black Snake Moan,Black Snake Moan,Black Snake Moan,https://www.dailyscript.com/scripts/Black-Snake-Moan.pdf,pdf,Black Snake Moan,both,,,
Black Swan,Black Swan,,,,,left_only,,,
Blackberry,Blackberry,,,,,left_only,,,
BlacKkKlansman,Blackkklansman,,,,,left_only,,,
Blade,Blade,Blade,https://www.dailyscript.com/scripts/blade.html,html,Blade,both,,,
Blade II,Blade 2,Blade II,https://www.dailyscript.com/scripts/Blade_II_David_goyer.html,html,Blade 2,both,,,
Blade Runner,Blade Runner,Blade Runner,https://www.dailyscript.com/scripts/Blade-runner_early.html,html,Blade Runner,both,,,
Blade: Trinity,Blade Trinity,Blade Trinity,https://www.dailyscript.com/scripts/BladeTrinity.txt,txt,Blade Trinity,both,,,
Blink Twice,Blink Twice,,,,,left_only,,,
Blitz,Blitz,,,,,left_only,,,
Blood and Wine,Blood And Wine,,,,,left_only,,,
Blood Simple,Blood Simple,Blood Simple,https://www.dailyscript.com/scripts/Blood%20Simple.txt,txt,Blood Simple,both,,,
Blow,Blow,Blow,https://www.dailyscript.com/scripts/blow.html,html,Blow,both,,,
Blue Valentine,Blue Valentine,,,,,left_only,,,
Blue Velvet,Blue Velvet,Blue Velvet,https://www.dailyscript.com/scripts/Blue+Velvet.txt,txt,Blue Velvet,both,,,
"Bodies, Rest & Motion",Bodies Rest & Motion,"Bodies, Rest & Motion","https://www.dailyscript.com/scripts/Bodies,%20Rest%20&%20Motion.txt",txt,Bodies Rest & Motion,both,"Bodies, Rest & Motion",HTML len = 0 : no content scrapped,Bodies Rest & Motion
Body Heat,Body Heat,Body Heat,https://www.dailyscript.com/scripts/BodyHeat.pdf,pdf,Body Heat,both,,,
Body of Evidence,Body Of Evidence,Body of Evidence,https://www.dailyscript.com/scripts/body_of_evidence.html,html,Body Of Evidence,both,,,
Bodyguard,Bodyguard,,,,,left_only,,,
Bones,Bones,Bones,https://www.dailyscript.com/scripts/bones.html,html,Bones,both,,,
Bonfire of the Vanities,Bonfire Of The Vanities,Bonfire of the Vanities,https://www.dailyscript.com/scripts/Bonfire_Vanities.PDF,pdf,Bonfire Of The Vanities,both,,,
Bonnie and Clyde,Bonnie And Clyde,,,,,left_only,,,
