name,movie_name,_merge,name_error,error
Pet Sematary II,Pet Sematary II,both,,
Petulia,,left_only,,
Philadelphia,Philadelphia,both,,
Phone Booth,Phone Booth,both,,
Pi,,left_only,,
Pineapple Express,,left_only,,
Pirates of the Caribbean,Pirates of the Caribbean,both,,
Pirates of the Caribbean: Dead Man's Chest,,left_only,,
Pitch Black,Pitch Black,both,,
Platinum Blonde,Platinum Blonde,both,,
Platoon,Platoon,both,,
Pleasantville,Pleasantville,both,,
Point Break,,left_only,,
Pokemon: Mewtwo Returns,,left_only,,
Poor Things,,left_only,,
Precious,,left_only,,
Predator,Predator,both,,
Pretty Woman,Pretty Woman,both,,
Pretty Woman (final script),,left_only,,
Pride and Prejudice,,left_only,,
Priest,,left_only,,
Priscilla,,left_only,,
Prom Night,,left_only,,
Prometheus,,left_only,,
Psycho,Psycho,both,,
Public Enemies,,left_only,,
Pulp Fiction,Pulp Fiction,both,,
Punch-Drunk Love,,left_only,,
Purple Rain,,left_only,,
Puss in Boots: The Last Wish,,left_only,,
Quantum Project,Quantum Project,both,,
Queen of the Damned,Queen of the Damned,both,,
Quiz Lady,,left_only,,
RKO 281,RKO 281,both,,
Rachel Getting Married,,left_only,,
Raging Bull,Raging Bull,both,,
Raising Arizona,Raising Arizona,both,,
Rambling Rose,Rambling Rose,both,,
Rambo: First Blood II: The Mission,Rambo: First Blood II: The Mission,both,,
Real Genius,Real Genius,both,,
Rear Window,Rear Window,both,,
Rebel Without A Cause,Rebel Without A Cause,both,,
Red Planet,Red Planet,both,,
Red Riding Hood,,left_only,,
Reindeer Games,Reindeer Games,both,,
Remember Me,,left_only,,
Repo Man,,left_only,,
Reservoir Dogs,Reservoir Dogs,both,,
Resident Evil,Resident Evil,both,,
Return of the Apes,Return of the Apes,both,,
Revolutionary Road,,left_only,,
Ricky Stanicky,,left_only,,
Ringu,,left_only,,
Rise of the Guardians,,left_only,,
Rise of the Planet of the Apes,,left_only,,
Robin Hood: Prince of Thieves,,left_only,,
Robocop,,left_only,Robocop,HTML len = 0 : no content scrapped
RocknRolla,RocknRolla,both,,
Rocky,Rocky,both,,
Romeo & Juliet,,left_only,Romeo & Juliet,HTML len = 0 : no content scrapped
Ronin,Ronin,both,,
Room,Room,both,,
Rosetta,,left_only,,
Roughshod,Roughshod,both,,
Runaway Bride,,left_only,,
Rush,Rush,both,,
Rush Hour,Rush Hour,both,,
Rush Hour 2,Rush Hour 2,both,,
Rushmore,Rushmore,both,,
Rust and Bone,,left_only,,
Rustin,,left_only,,
S. Darko,,left_only,,
Saturday Night,,left_only,,
Save the Last Dance,Save the Last Dance,both,,
Saving Mr. Banks,,left_only,,
Saving Private Ryan,Saving Private Ryan,both,,
Saw,,left_only,,
Saw IV,,left_only,,
Scarface,Scarface,both,,
Scary Movie 2,Scary Movie 2,both,Scary Movie 2,HTML len = 0 : no content scrapped
Schindler's List,Schindler's List,both,,
Scott Pilgrim vs the World,,left_only,,
Scream,Scream,both,,
Scream 2,,left_only,,
Scream 3,Scream 3,both,,
Scream 4,,left_only,,
Se7en,,left_only,,
Semi-Pro,,left_only,,
Sense and Sensibility,,left_only,,
Serenity,,left_only,,
Serial Mom,Serial Mom,both,,
Sex and the City,,left_only,,
"Sex, Lies and Videotape",,left_only,,
Sexual Life,Sexual Life,both,,
Shadow of the Vampire,Shadow of the Vampire,both,Shadow of the Vampire,HTML len = 0 : no content scrapped
Shakespeare in Love,Shakespeare in Love,both,,
Shallow Grave,,left_only,,
Shame,,left_only,,
Shampoo,Shampoo,both,,
She's Out of My League,,left_only,,
Sherlock Holmes,,left_only,,
Shifty,,left_only,,
Shivers,Shivers,both,,
Shrek,,left_only,,
Shrek the Third,,left_only,,
Sicario,,left_only,,
Sideways,Sideways,both,,
Signs,Signs,both,,
Silence of the Lambs,,left_only,,
Silent Grace,,left_only,,
Silver Bullet,Silver Bullet,both,,
Silver Linings Playbook,,left_only,,
Simone,Simone,both,,
Sing Sing,,left_only,,
Single White Female,,left_only,,
Sister Act,,left_only,,
Six Degrees of Separation,,left_only,,
Sleepless in Seattle,,left_only,,
Sleepy Hollow,Sleepy Hollow,both,,
Sling Blade,Sling Blade,both,,
Slither,,left_only,,
Slumdog Millionaire,Slumdog Millionaire,both,,
Smashed,,left_only,,
Smokin' Aces,Smokin' Aces,both,,
Snatch,Snatch,both,,
Sneakers,,left_only,Sneakers,HTML len = 0 : no content scrapped
Snow Falling On Cedars,Snow Falling On Cedars,both,,
Snow White and the Huntsman,Snow White and the Huntsman,both,,
So I Married an Axe Murderer,,left_only,,
Solaris,Solaris,both,,
Soldier,Soldier,both,,
Someone To Watch Over Me,,left_only,,
Something's Gotta Give,Something's Gotta Give,both,,
Source Code,,left_only,,
South Park,,left_only,,
Space Milkshake,,left_only,,
Spanglish,Spanglish,both,,
Spare Me,Spare Me,both,,
Spartan,Spartan,both,,
Speed,Speed,both,Speed,HTML len = 0 : no content scrapped
Speed Racer,,left_only,,
Sphere,Sphere,both,,
Spider-Man,Spider-Man,both,,
Spider-Man: Across the Spider-Verse,,left_only,,
St. Elmo's Fire,,left_only,,
Star Trek,,left_only,,
Star Trek II: The Wrath of Khan,,left_only,,
Star Trek: First Contact,,left_only,,
Star Trek: Generations,,left_only,,
Star Trek: Nemesis,,left_only,,
Star Trek: The Motion Picture,,left_only,,
Star Wars: A New Hope,,left_only,,
Star Wars: Attack of the Clones,,left_only,,
Star Wars: Return of the Jedi,,left_only,,
Star Wars: Revenge of the Sith,,left_only,,
Star Wars: The Empire Strikes Back,,left_only,,
Star Wars: The Force Awakens,,left_only,,
Star Wars: The Phantom Menace,,left_only,,
Starman,Starman,both,,
Starship Troopers,,left_only,,
State and Main,State and Main,both,,
Station West,Station West,both,,
Stepmom,Stepmom,both,,
Stir of Echoes,,left_only,,
Storytelling,Storytelling,both,,
Straight Outta Compton,,left_only,,
Strange Days,,left_only,,
Strangers on a Train,Strangers on a Train,both,,
Sugar,,left_only,,
Sugar and Spice,Sugar and Spice,both,,
Sunset Blvd.,Sunset Blvd.,both,,
Sunshine Cleaning,,left_only,,
Super 8,,left_only,,
Superbad,,left_only,,
Superfights,,left_only,Superfights,HTML len = 0 : no content scrapped
Supergirl,,left_only,,
Surrogates,,left_only,,
Suspect Zero,Suspect Zero,both,,
Sweeney Todd: The Demon Barber of Fleet Street,,left_only,,
Sweet Smell of Success,Sweet Smell of Success,both,,
Swingers,Swingers,both,,
Swordfish,Swordfish,both,,
"Synecdoche, New York",,left_only,,
Syriana,,left_only,,
TMNT,,left_only,,
TRON,TRON,both,,
TRON: Legacy,,left_only,,
Take Shelter,,left_only,,
Taking Lives,Taking Lives,both,,
Taking Sides,Taking Sides,both,,
Tall in the Saddle,,left_only,,
Tamara Drewe,,left_only,,
Taxi Driver,Taxi Driver,both,,
Ted,,left_only,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,,left_only,,
Tenet,,left_only,,
Terminator,Terminator,both,,
Terminator 2: Judgement Day,,left_only,,
Terminator Salvation,,left_only,,
The Abyss,The Abyss,both,,
The Addams Family,The Addams Family,both,,
The Adjustment Bureau,,left_only,,
The Adventures of Buckaroo Banzai Across the Eighth Dimension,,left_only,,
The American,,left_only,,
The American President,The American President,both,,
The Amityville Asylum,,left_only,,
The Anniversary Party,The Anniversary Party,both,,
The Apartment,The Apartment,both,,
The Artist,,left_only,,
The Assignment,The Assignment,both,,
The Avengers,The Avengers,both,,
The Avengers,The Avengers,both,,
The Bachelor Party,,left_only,,
The Back-up Plan,,left_only,,
The Battle of Algiers,The Battle of Algiers,both,,
The Battle of Shaker Heights,The Battle of Shaker Heights,both,,
The Beach,,left_only,,
The Beekeeper,,left_only,,
The Believer,The Believer,both,,
The Best Exotic Marigold Hotel,,left_only,,
The Big Blue,The Big Blue,both,,
The Big Lebowski,The Big Lebowski,both,,
The Big Sick,The Big Sick,both,,
The Big White,,left_only,,
The Birds,The Birds,both,,
The Black Dahlia,The Black Dahlia,both,,
The Blast from the Past,The Blast from the Past,both,,
The Blind Side,,left_only,,
The Bling Ring,,left_only,,
The Blues Brothers,The Blues Brothers,both,The Blues Brothers,HTML len = 0 : no content scrapped
The Book of Eli,,left_only,,
The Boondock Saints,The Boondock Saints,both,,
The Bounty Hunter,,left_only,,
The Bourne Identity,The Bourne Identity,both,,
The Bourne Supremacy,The Bourne Supremacy,both,,
The Bourne Ultimatum,The Bourne Ultimatum,both,,
The Box,,left_only,,
The Boxtrolls,The Boxtrolls,both,,
The Breakfast Club,The Breakfast Club,both,,
The Brothers Bloom,,left_only,,
The Brutalist,,left_only,,
The Butterfly Effect,The Butterfly Effect,both,,
The Cell,The Cell,both,,
The Change-Up,,left_only,,
The Cider House Rules,The Cider House Rules,both,,
The Cincinnati Kid,The Cincinnati Kid,both,,
The Color Purple,,left_only,,
The Cooler,The Cooler,both,,
The Croods,,left_only,,
The Crow,The Crow,both,,
The Crow Salvation,The Crow Salvation,both,,
The Crow: City of Angels,,left_only,,
The Curious Case of Benjamin Button,,left_only,,
The Damned United,,left_only,,
The Danish Girl,,left_only,,
The Dark Knight,,left_only,The Dark Knight,"Webstatus : 404
"
The Dark Knight Rises,,left_only,,
The Day the Clown Cried,The Day the Clown Cried,both,,
The Day the Earth Stood Still,,left_only,,
The Debt,,left_only,,
The Deer Hunter,The Deer Hunter,both,,
The Departed,The Departed,both,,
The Descendants,,left_only,,
The Devil Wears Prada,The Devil Wears Prada,both,,
The Distinguished Gentleman,The Distinguished Gentleman,both,,
The Doors,The Doors,both,,
The Elephant Man,The Elephant Man,both,,
The English Patient,The English Patient,both,,
The Fabulous Baker Boys,The Fabulous Baker Boys,both,,
The Family Man,The Family Man,both,,
The Fault in Our Stars,,left_only,,
The Fifth Element,,left_only,,
The Fighter,,left_only,,
The Flintstones,The Flintstones,both,,
The French Connection,The French Connection,both,,
The Fugitive,The Fugitive,both,,
The Game,The Game,both,,
The Getaway,The Getaway,both,,
The Ghost and the Darkness,The Ghost and the Darkness,both,,
The Girl with the Dragon Tattoo,,left_only,,
The Godfather Part III,,left_only,,
The Good Girl,,left_only,,
The Graduate,The Graduate,both,,
The Grapes of Wrath,The Grapes of Wrath,both,,
The Great Gatsby,,left_only,,
The Green Mile,,left_only,,
The Grifters,The Grifters,both,,
The Grudge,The Grudge,both,,
The Hangover,,left_only,,
The Haunting,The Haunting,both,,
The Hebrew Hammer,The Hebrew Hammer,both,,
The Help,The Help,both,,
The Hills Have Eyes,,left_only,,
The Hitchhiker's Guide to the Galaxy,,left_only,,
The Holdovers,,left_only,,
The Horse Whisperer,,left_only,,
The Hospital,The Hospital,both,,
The Hudsucker Proxy,The Hudsucker Proxy,both,,
The Hunt for Red October,,left_only,,
The Hurt Locker,The Hurt Locker,both,,
The Ice Storm,The Ice Storm,both,,
The Ides of March,,left_only,,
The Imaginarium of Doctor Parnassus,,left_only,,
The Incredibles,,left_only,,
The Informant,,left_only,,
The Insider,The Insider,both,,
The Invention of Lying,,left_only,,
The Iron Claw,,left_only,,
The Iron Lady,,left_only,,
The Island,The Island,both,,
The Italian Job,The Italian Job,both,,
The Jacket,The Jacket,both,,
The Kids Are All Right,,left_only,,
The Killer,,left_only,,
The King of Comedy,,left_only,,
The King's Speech,,left_only,,
The Kingdom,,left_only,,
The LEGO Movie,,left_only,,
The Ladykillers,The Ladykillers,both,,
The Last Boy Scout,The Last Boy Scout,both,,
The Last Flight,,left_only,,
The Last Samurai,The Last Samurai,both,,
The Last Station,,left_only,,
The Last of the Mohicans,,left_only,,
The Life of David Gale,The Life of David Gale,both,,
The Limey,The Limey,both,,
The Lincoln Lawyer,,left_only,,
The Lion King,,left_only,The Lion King,HTML len = 0 : no content scrapped
The Little Mermaid,,left_only,,
The Long Kiss Goodnight,,left_only,,
The Lord of the Rings: Fellowship of the Ring,,left_only,,
The Losers,,left_only,,
The Majestic,The Majestic,both,,
The Man Who Knew Too Much,The Man Who Knew Too Much,both,,
The Man Who Wasn't There,The Man Who Wasn't There,both,,
The Manchurian Candidate,The Manchurian Candidate,both,,
The Martian,,left_only,,
The Mask,,left_only,,
The Master,,left_only,,
The Matrix,The Matrix,both,,
The Matrix Reloaded,,left_only,,
The Mechanic,,left_only,,
The Men Who Stare at Goats,,left_only,,
The Menu,,left_only,,
The Miracle Worker,,left_only,,
The Mummy,,left_only,,
The Neverending Story,,left_only,,
The Next Three Days,,left_only,,
The Nightmare Before Christmas,The Nightmare Before Christmas,both,,
The Nightmare Before Christmas,The Nightmare Before Christmas,both,,
The Nines,,left_only,,
The Ninth Gate,,left_only,,
The Other Boleyn Girl,,left_only,,
The Pacifier,The Pacifier,both,,
The Passion of Joan of Arc,,left_only,,
The Patriot,The Patriot,both,,
The Perks of Being a Wallflower,,left_only,,
The Persian Version,,left_only,,
The Pianist,The Pianist,both,,
The Piano,The Piano,both,,
The Planet of the Apes,,left_only,,
The Postman,The Postman,both,,
The Power of One,The Power of One,both,,
The Prestige,The Prestige,both,,
The Princess Bride,The Princess Bride,both,,
The Private Life of Sherlock Holmes,,left_only,,
The Producer,,left_only,,
The Program,The Program,both,,
The Prophecy,The Prophecy,both,,
The Proposal,,left_only,,
The Queen,The Queen,both,,
The Rage: Carrie 2,,left_only,,
The Reader,The Reader,both,,
The Relic,The Relic,both,,
The Replacements,The Replacements,both,,
The Rescuers Down Under,,left_only,,
The Revenant,,left_only,,
The Road,,left_only,,
The Rock,,left_only,,
The Rocky Horror Picture Show,,left_only,,
The Roommate,,left_only,,
The Ruins,,left_only,,
The Saint,The Saint,both,,
The Salton Sea,The Salton Sea,both,,
The Sandlot Kids,,left_only,,
The Searchers,The Searchers,both,,
The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,both,,
The Sessions,,left_only,,
The Seventh Seal,,left_only,,
The Shawshank Redemption,The Shawshank Redemption,both,,
The Shining,The Shining,both,,
The Shipping News,The Shipping News,both,,
The Siege,The Siege,both,,
The Sixth Sense,The Sixth Sense,both,,
The Social Network,,left_only,,
The Sting,The Sting,both,,
The Stuntman,,left_only,,
The Substance,,left_only,,
The Surfer King,,left_only,,
The Sweet Hereafter,The Sweet Hereafter,both,,
The Taking of Pelham One Two Three,,left_only,,
The Talented Mr. Ripley,The Talented Mr. Ripley,both,,
The Teachers' Lounge,,left_only,,
The Theory of Everything,The Theory of Everything,both,,
The Thing,The Thing,both,,
The Things My Father Never Taught Me,,left_only,,
The Three Musketeers,The Three Musketeers,both,,
The Time Machine,The Time Machine,both,,
The Tourist,,left_only,,
The Town,,left_only,,
The Truman Show,The Truman Show,both,,
The Ugly Truth,,left_only,,
The Usual Suspects,The Usual Suspects,both,,
The Verdict,The Verdict,both,,
The Village,,left_only,,
The Visitor,,left_only,,
The Way Back,,left_only,,
The Whistleblower,,left_only,,
The White Ribbon,,left_only,,
The Wild Bunch,The Wild Bunch,both,,
The Wizard of Oz,,left_only,,
The Wolf of Wall Street,,left_only,,
The Woodsman,The Woodsman,both,,
The World is not Enough,,left_only,,
The Wrestler,,left_only,,
The X-Files: Fight the Future,,left_only,,
The Zone of Interest,,left_only,,
Thelma & Louise,Thelma & Louise,both,Thelma & Louise,HTML len = 0 : no content scrapped
There's Something About Mary,There's Something About Mary,both,,
They,,left_only,,
Thirteen Days,Thirteen Days,both,,
This Boy's Life,This Boy's Life,both,,
This is 40,,left_only,This is 40,HTML len = 0 : no content scrapped
Thor,,left_only,,
Thor Ragnarok,,left_only,,
Three Kings,Three Kings,both,,
Three Kings (Spoils of War),Three Kings (Spoils of War),both,,
Three Men and a Baby,Three Men and a Baby,both,,
Thunderbirds,,left_only,,
Thunderheart,Thunderheart,both,,
Ticker,Ticker,both,,
Timber Falls,,left_only,,
Tin Cup,Tin Cup,both,,
Tin Men,Tin Men,both,,
Tinker Tailor Soldier Spy,,left_only,,
Titanic,Titanic,both,,
To Sleep with Anger,,left_only,,
Tombstone,Tombstone,both,,
Tomorrow Never Dies,,left_only,,
Top Gun,Top Gun,both,,
Total Recall,,left_only,,
Toy Story,Toy Story,both,,
Traffic,Traffic,both,,
Training Day,Training Day,both,,
Trainspotting,Trainspotting,both,,
Transformers: The Movie,Transformers: The Movie,both,,
Trap Livin',,left_only,,
Tremors,Tremors,both,,
Tristan and Isolde,,left_only,,
Tropic Thunder,,left_only,,
Troy,Troy,both,Troy,"Webstatus : 404
"
True Grit,,left_only,,
True Lies,,left_only,,
True Romance,True Romance,both,,
Tucker and Dale vs Evil,,left_only,,
Twilight,,left_only,,
Twilight: New Moon,,left_only,,
Twin Peaks,,left_only,,
Twins,Twins,both,,
Twister,,left_only,,
Two For The Money,Two For The Money,both,,
U Turn,U Turn,both,,
Un Singe en Hiver,,left_only,,
Unbreakable,Unbreakable,both,,
Under Fire,Under Fire,both,,
Unforgiven,Unforgiven,both,Unforgiven,"Webstatus : 404
"
Unknown,,left_only,,
Up,,left_only,,
Up in the Air,,left_only,,
V for Vendetta,,left_only,,
Valentine's Day,,left_only,Valentine's Day,"Webstatus : 404
"
Valkyrie,,left_only,,
Vanilla Sky,,left_only,,
Vertigo,Vertigo,both,Vertigo,HTML len = 0 : no content scrapped
Very Bad Things,Very Bad Things,both,,
Virtuosity,Virtuosity,both,,
Wag the Dog,Wag the Dog,both,,
"Walk to Remember, A",,left_only,,
Walking Tall,,left_only,,
Wall Street,Wall Street,both,,
Wall Street: Money Never Sleeps,,left_only,,
Wall-E,,left_only,,
Wanted,,left_only,,
War Horse,,left_only,,
War for the Planet of the Apes,,left_only,,
War of the Worlds,,left_only,,
Warm Springs,Warm Springs,both,,
Warrior,,left_only,,
Watchmen,,left_only,,
Water for Elephants,,left_only,,
We Own the Night,,left_only,,
What About Bob?,What About Bob?,both,What About Bob?,"Webstatus : 404
"
What Lies Beneath,What Lies Beneath,both,,
When Harry Met Sally,When Harry Met Sally,both,When Harry Met Sally,HTML len = 0 : no content scrapped
When a Stranger Calls,,left_only,,
While She Was Out,,left_only,,
Whiplash,Whiplash,both,,
White Christmas,White Christmas,both,,
White Jazz,,left_only,,
White Squall,,left_only,,
Whiteout,,left_only,,
Who Framed Roger Rabbit?,,left_only,Who Framed Roger Rabbit?,"Webstatus : 404
"
Who's Your Daddy,,left_only,,
Wicked,,left_only,,
Wild At Heart,Wild At Heart,both,,
Wild Hogs,,left_only,,
Wild Things,Wild Things,both,,
Wild Things: Diamonds in the Rough,,left_only,,
Wild Wild West,,left_only,,
Willow,Willow,both,,
Win Win,,left_only,,
Wind Chill,Wind Chill,both,,
Withnail and I,Withnail and I,both,,
Witness,Witness,both,,
Wonder Boys,Wonder Boys,both,,
Wonder Woman,,left_only,,
Wonka,,left_only,,
X-Men,X-Men,both,,
X-Men Origins: Wolverine,,left_only,,
Year One,,left_only,,
Yes Man,,left_only,,
You Can Count On Me,You Can Count On Me,both,,
You've Got Mail,You've Got Mail,both,,
Youth in Revolt,,left_only,,
Zebra Girl,,left_only,,
Zero Dark Thirty,,left_only,,
Zerophilia,,left_only,,
Zootopia,Zootopia,both,,
eXistenZ,,left_only,eXistenZ,HTML len = 0 : no content scrapped
xXx,xXx,both,,
,"10,000 B. C. ",right_only,,
,12 And Holding,right_only,,
,12 Angry Men,right_only,,
,13 Days,right_only,,
,13 Ghosts,right_only,,
,1492: Conquest of Paradise:,right_only,,
,15 Minutes ,right_only,,
,16 Blocks,right_only,,
,20th Century Woman,right_only,,
,3 Kings,right_only,,
,3 Kings (Spoils of War),right_only,,
,40 Year Old Virgin,right_only,,
,48 Hours,right_only,,
,531,right_only,,
,8 MM,right_only,,
,8 Mile (aka Untitled Detroit Project),right_only,,
,8 Millimeter,right_only,,
,84 Charlie MoPic,right_only,,
,A Christmas Story,right_only,,
,A Clockwork Orange,right_only,,
,A Dry White Season,right_only,,
,A Good Year,right_only,,
,A Hard Day's Night,right_only,,
,A Last Kiss (filmed as The Last Kiss),right_only,,
,A Nightmare on Elm Street,right_only,,
,A Perfect World,right_only,,
,A Thousand Acres,right_only,,
,A Walk to Remember,right_only,,
,Adventureland,right_only,,
,Airforce One,right_only,,
,Airplane II: The Sequel,right_only,,
,Airplane!,right_only,,
,Alfie,right_only,,
,All The King's Men,right_only,,
,All The President's Men,right_only,,
,American Bullshit (filmed as American Hustle),right_only,,
,An Affair to Remember,right_only,,
,An American Werewolf In London,right_only,,
,An American Werewolf In Paris,right_only,,
,An Officer and a Gentleman,right_only,,
,Analyse That,right_only,,
,Analyse This,right_only,,
,Anatomy of a Murder,right_only,,
,Any Given Sunday,right_only,,
,Apache Drums,right_only,,
,Apocalypse Now: Redux,right_only,,
,Arac Attack (Released as Eight Legged Freaks),right_only,,
,Armstrong (filmed as First Man),right_only,,
,Arrival,right_only,,
,As Good As It Gets ,right_only,,
,Asylum (Batman Vs Superman),right_only,,
,Austin Powers 2: The Spy Who Shagged Me,right_only,,
,Austin Powers: International Man of Mystery,right_only,,
,Autumn In New York,right_only,,
,Bad Day At Black Rock,right_only,,
,Batman 2 (Unproduced),right_only,,
,Beautiful Girls,right_only,,
,Beauty Shop,right_only,,
,Bedlam,right_only,,
,Beetle Juice,right_only,,
,Before Sunset,right_only,,
,Below,right_only,,
,Beowulf,right_only,,
,Beowulf & Grendal,right_only,,
,Big Fish ,right_only,,
,Big Trouble in Little China II,right_only,,
,Birth of a Nation,right_only,,
,Blade Trinity,right_only,,
,Blair Witch II,right_only,,
,Blood Diamond,right_only,,
,Blood Relations The Sun Wars (filmed as The Hills Have Eyes),right_only,,
,Blood Work,right_only,,
,Blue Hotel,right_only,,
,Born on the Fourth of July (part 1),right_only,,
,Born on the Fourth of July (part 2),right_only,,
,Boy Who Never Slept,right_only,,
,Breach (written as Hanssen),right_only,,
,Breakfast At Tiffany's,right_only,,
,Bringing Out The Dead,right_only,,
,Bringing Up Baby,right_only,,
,Brooklyn,right_only,,
,Butch Cassidy and The Sundance Kid,right_only,,
,Call Me By Your Name,right_only,,
,Call Northside 777 (part 1),right_only,,
,Call Northside 777 (part 2),right_only,,
,Calvary,right_only,,
,Captain Phillips (was Maersk Alabama),right_only,,
,Carnivore,right_only,,
,Carol,right_only,,
,Casino Royale,right_only,,
,Children of Men,right_only,,
,Code Of Silence,right_only,,
,Committed (filmed as Crazy Love),right_only,,
,Committed (filmed as Crazylove),right_only,,
,Conan,right_only,,
,Conquest of Paradise: 1492,right_only,,
,Conspiracy Theory,right_only,,
,Cradle to the Grave,right_only,,
,Crash (1996),right_only,,
,Crazy Love (was Committed),right_only,,
,Crazylove (was Committed),right_only,,
,Cross of Iron,right_only,,
,Crow 3: Resurrection,right_only,,
,Curse of the Cat People,right_only,,
,Dances With Wolves,right_only,,
,Dark Angel - Pilot,right_only,,
,Dark City�,right_only,,
,Deliverance,right_only,,
,Demolition Man,right_only,,
,Devil In a Blue Dress,right_only,,
,Doctor Zhivago,right_only,,
,Domino,right_only,,
,Doom,right_only,,
,Downsizing,right_only,,
,Dragon Slayer,right_only,,
,Duchess,right_only,,
,Dunkirk,right_only,,
,Eight Legged Freaks (Originally Titled Arac Attack),right_only,,
,Eight Millimeter,right_only,,
,Eight Scenes from the life of Hank Williams,right_only,,
,El Cantante,right_only,,
,El Laberinto del Fauno,right_only,,
,Elf,right_only,,
,Elizabethtown,right_only,,
,Elle,right_only,,
,Empire of the Sun,right_only,,
,Equity,right_only,,
,Erik The Viking,right_only,,
,Erin Brockovich ,right_only,,
,Eternal Sunshine Of The Spotless Mind,right_only,,
,Even Cowgirls Get The Blues,right_only,,
,FTKMF (First They Killed My Father_,right_only,,
,Face/Off,right_only,,
,Fallen,right_only,,
,Far From The Maddening Crowd,right_only,,
,Fast Times At Ridgemont High,right_only,,
,Fear And Loathing In Las Vegas,right_only,,
,Feast - early draft,right_only,,
,Feast - revised draft,right_only,,
,Fences,right_only,,
,Fifty Violins (filmed as Music of the Heart),right_only,,
,Final Analysis,right_only,,
,First Man (written as Armstrong),right_only,,
,Five Feet and Rising,right_only,,
,Flight Plan,right_only,,
,Forbidden Planet,right_only,,
,Ford Fairlane (The Adventures of Ford Fairlane),right_only,,
,Foundation,right_only,,
,Frankenstein (1994),right_only,,
,Freddy's Dead: The Final Nightmare,right_only,,
,Friday The 13th,right_only,,
,Friday The 13th Part 8: Jason Takes Manhatten,right_only,,
,Friday the 13th Part 10: Jason X,right_only,,
,From Russia With Love,right_only,,
,Frost/Nixon,right_only,,
,Fun With Dick and Jane Part 1,right_only,,
,Fun With Dick and Jane Part 2,right_only,,
,Gateway,right_only,,
,Get Him To The Greek,right_only,,
,Get On Up,right_only,,
,Get Rich or Die Trying (aka Untitled 50 Cent Project),right_only,,
,Giant,right_only,,
,Glengarry Glen Ross,right_only,,
,Glory Road,right_only,,
,Gold,right_only,,
,Goldeneye,right_only,,
,Goldfinger,right_only,,
,Gone Girl,right_only,,
,Gone With The Wind,right_only,,
,Gone in Sixty Seconds,right_only,,
,Good Luck Chuck,right_only,,
,"Good Night, and Good Luck",right_only,,
,Goodfellas ,right_only,,
,Grosse Pointe Blank,right_only,,
,Halloween 6: The Curse of Michael Myers (HALLOWEEN 666: THE ORIGIN OF MICHAEL MYERS),right_only,,
,Halloween: Resurrection,right_only,,
,Hanssen (filmed as Breach),right_only,,
,Happy Campers,right_only,,
,Happy-Go-Lucky,right_only,,
,Hardcore,right_only,,
,Harold and Kumar go to White Castle,right_only,,
,Harold and Maude,right_only,,
,Harry Potter And The Order of the Phoenix,right_only,,
,Havoc 2: Normal Adolescent Behavior,right_only,,
,Hero,right_only,,
,Heros: Genesis,right_only,,
,Hider In The House,right_only,,
,High Noon,right_only,,
,Highlander 4,right_only,,
,Hitchhiker's Guide to the Galaxy,right_only,,
,Hitman,right_only,,
,Hope And Glory,right_only,,
,Hope and Glory,right_only,,
,House Of 1000 Corpses,right_only,,
,House on Haunted Hill,right_only,,
,How To Train Your Dragon 2,right_only,,
,Hustle & Flow,right_only,,
,I Am Legend (Omega Man),right_only,,
,I Saw The Light,right_only,,
,I Think I Love My Wife,right_only,,
,I Walked with a Zombie,right_only,,
,Ides of March,right_only,,
,If Beale Street Could Talk,right_only,,
,Indiana Jones And The Last Crusade,right_only,,
,Indiana Jones and the Raiders Of The Lost Ark,right_only,,
,Inside Man,right_only,,
,Inside Out,right_only,,
,Investigation,right_only,,
,Isle of the Dead,right_only,,
,Jackie,right_only,,
,Jay And Silent Bob Strike Back,right_only,,
,John Q.,right_only,,
,Julieta,right_only,,
,Jurassic Park 2: The Lost World,right_only,,
,Jurassic Park 3,right_only,,
,K-2,right_only,,
,Kate and Leopold,right_only,,
,King Kong (Kong),right_only,,
,"Kiss, Kiss, Bang, Bang (You'll Never Die In This Town Again)",right_only,,
,Kong (King Kong),right_only,,
,Kramer Vs. Kramer,right_only,,
,Lady Bird,right_only,,
,Land of Mine,right_only,,
,Last Flag Flying,right_only,,
,Last Of The Mohicans,right_only,,
,Lawrence of Arabia,right_only,,
,Le Grand bleu,right_only,,
,Legionnaire,right_only,,
,Lethal Weapon II,right_only,,
,Letters To Juliet,right_only,,
,Letters from Iwo Jima,right_only,,
,"Liar, Liar",right_only,,
,Liberty Street (filmed as Life on Liberty Street),right_only,,
,License to Drive,right_only,,
,Life on Liberty Street (was Liberty Street),right_only,,
,Lion,right_only,,
,Little Athens ,right_only,,
,Little Black Book,right_only,,
,Little Children,right_only,,
,Little Miss Sunshine,right_only,,
,Locke,right_only,,
,Long Kiss Goodnight,right_only,,
,Looking For The Man,right_only,,
,Love Actually,right_only,,
,Love and Friendship,right_only,,
,M*A*S*H,right_only,,
,MacBeth,right_only,,
,MacGruber,right_only,,
,Made For Each Other,right_only,,
,Maersk Alabama (filmed as Captain Phillips),right_only,,
,Maggie's Plan,right_only,,
,Man Plus,right_only,,
,Man on Fire,right_only,,
,Mandingo,right_only,,
