name,movie_name,_merge,name_error,error
Event Horizon,Event Horizon,both,,
Evil Dead,,left_only,,
Evil Dead II: Dead by Dawn,,left_only,,
Ex Machina,Ex Machina,both,,
Excalibur,Excalibur,both,,
Executive Decision,Executive Decision,both,Executive Decision,"Webstatus : 404
"
Extract,,left_only,,
Eyes Wide Shut,,left_only,Eyes Wide Shut,"Webstatus : 404
"
Face Off,,left_only,,
Fair Game,,left_only,,
FairyTale: A True Story,,left_only,,
Fantastic Beasts and Where to Find Them,,left_only,,
Fantastic Beasts: The Crimes of Grindelwald,,left_only,,
Fantastic Beasts: The Secrets of Dumbledore,,left_only,,
Fantastic Four,,left_only,,
Fantastic Mr Fox,,left_only,,
Fargo,Fargo,both,,
Fast Times at Ridgemont High,Fast Times at Ridgemont High,both,,
Fatal Instinct,Fatal Instinct,both,,
Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,both,,
Feast,,left_only,,
Ferrari,,left_only,,
Ferris Bueller's Day Off,Ferris Bueller's Day Off,both,,
Field of Dreams,Field of Dreams,both,,
Fight Club,Fight Club,both,,
Final Destination,Final Destination,both,,
Final Destination 2,Final Destination 2,both,,
Finding Nemo,,left_only,,
First Cow,,left_only,,
Five Easy Pieces,Five Easy Pieces,both,,
Flash Gordon,,left_only,,
Fletch,Fletch,both,,
Flight,Flight,both,,
Flora and Son,,left_only,,
Foe,,left_only,,
Forrest Gump,Forrest Gump,both,,
Four Feathers,Four Feathers,both,,
Four Rooms,Four Rooms,both,,
Foxcatcher,Foxcatcher,both,,
Fracture,Fracture,both,,
Frances,Frances,both,,
Frankenstein,,left_only,Frankenstein,HTML len = 0 : no content scrapped
Frankenweenie,,left_only,Frankenweenie,HTML len = 0 : no content scrapped
Freaked,Freaked,both,,
Fred Claus,,left_only,,
Freddy vs. Jason,Freddy vs. Jason,both,,
Frequency,Frequency,both,,
Freud's Last Session,,left_only,,
Friday the 13th,Friday the 13th,both,,
Friday the 13th Part VIII: Jason Takes Manhattan,,left_only,,
Fright Night,,left_only,,
Fright Night (1985),,left_only,,
From Dusk Till Dawn,From Dusk Till Dawn,both,,
From Here to Eternity,,left_only,,
Frozen,,left_only,,
Frozen (Disney),,left_only,,
Frozen River,Frozen River,both,,
Fruitvale Station,,left_only,,
Full Metal Jacket,,left_only,Full Metal Jacket,"Webstatus : 404
"
Funny People,Funny People,both,,
Fury,Fury,both,Fury,"Webstatus : 404
"
G.I. Jane,,left_only,,
G.I. Joe: The Rise of Cobra,,left_only,,
Game 6,Game 6,both,,
Gamer,,left_only,,
Gandhi,Gandhi,both,,
Gang Related,Gang Related,both,,
Gangs of New York,,left_only,,
Garden State,Garden State,both,,
Gattaca,Gattaca,both,,
Get Carter,Get Carter,both,,
Get Low,,left_only,,
Get Out,,left_only,,
Get Shorty,Get Shorty,both,,
Get on Up,,left_only,,
Ghost,Ghost,both,,
Ghost Rider,,left_only,,
Ghost Ship,Ghost Ship,both,,
Ghost World,Ghost World,both,,
Ghostbusters,,left_only,,
Ghostbusters 2,,left_only,,
Ginger Snaps,,left_only,Ginger Snaps,"Webstatus : 404
"
Gladiator,,left_only,,
Glengarry Glen Gross,,left_only,,
Go,,left_only,,
Godfather,,left_only,,
Godfather Part II,,left_only,,
Gods and Monsters,Gods and Monsters,both,,
Godzilla,,left_only,,
Gone Baby Gone,,left_only,,
Gone in 60 Seconds,,left_only,,
