movie_name,script_page_url,pdf_url
The Accidental Tourist,https://www.scriptslug.com/script/the-accidental-tourist-1988,https://assets.scriptslug.com/live/pdf/scripts/the-accidental-tourist-1988.pdf?v=1729115006
The Accountant,https://www.scriptslug.com/script/the-accountant-2016,https://assets.scriptslug.com/live/pdf/scripts/the-accountant-2016.pdf?v=1729115006
"Ace Ventura
Pet Detective",https://www.scriptslug.com/script/ace-ventura-pet-detective-1994,https://assets.scriptslug.com/live/pdf/scripts/ace-ventura-pet-detective-1994.pdf?v=1729114854
Action Jackson,https://www.scriptslug.com/script/action-jackson-1989,https://assets.scriptslug.com/live/pdf/scripts/actions-jackson-1988.pdf?v=1729114854
Ad Astra,https://www.scriptslug.com/script/ad-astra-2019,https://assets.scriptslug.com/live/pdf/scripts/ad-astra-2019.pdf?v=1729114854
Adaptation,https://www.scriptslug.com/script/adaptation-2002,https://assets.scriptslug.com/live/pdf/scripts/adaptation-2002.pdf?v=1729114854
The Addams Family,https://www.scriptslug.com/script/the-addams-family-1991,https://assets.scriptslug.com/live/pdf/scripts/the-addams-family-1991.pdf?v=1729115006
Addams Family Values,https://www.scriptslug.com/script/addams-family-values-1993,https://assets.scriptslug.com/live/pdf/scripts/addams-family-values-1993.pdf?v=1729114855
The Adjustment Bureau,https://www.scriptslug.com/script/the-adjustment-bureau-2011,https://assets.scriptslug.com/live/pdf/scripts/the-adjustment-bureau-2011.pdf?v=1729115006
The Adventures of Ford Fairlane,https://www.scriptslug.com/script/the-adventures-of-ford-fairlane-1990,https://assets.scriptslug.com/live/pdf/scripts/the-adventures-of-ford-fairlane-1990.pdf?v=1729115006
The Adventures of TinTin,https://www.scriptslug.com/script/the-adventures-of-tintin-2011,https://assets.scriptslug.com/live/pdf/scripts/the-adventures-of-tintin-2011.pdf?v=1729115006
The African Queen,https://www.scriptslug.com/script/the-african-queen-1951,https://assets.scriptslug.com/live/pdf/scripts/the-african-queen-1951.pdf?v=1729115006
After the Wedding,https://www.scriptslug.com/script/after-the-wedding-2019,https://assets.scriptslug.com/live/pdf/scripts/after-the-wedding-2019.pdf?v=1729114855
Aftersun,https://www.scriptslug.com/script/aftersun-2022,https://assets.scriptslug.com/live/pdf/scripts/aftersun-2022.pdf?v=1729114855
Air,https://www.scriptslug.com/script/air-2023,https://assets.scriptslug.com/live/pdf/scripts/air-2023.pdf?v=1729114855
Air Force One,https://www.scriptslug.com/script/air-force-one-1997,https://assets.scriptslug.com/live/pdf/scripts/air-force-one-1997.pdf?v=1729114855
Airplane!,https://www.scriptslug.com/script/airplane-1980,https://assets.scriptslug.com/live/pdf/scripts/airplane-1980.pdf?v=1729114855
"Airplane II
The Sequel",https://www.scriptslug.com/script/airplane-ii-the-sequel-1982,https://assets.scriptslug.com/live/pdf/scripts/airplane-ii-the-sequel-1982.pdf?v=1729114855
Aladdin,https://www.scriptslug.com/script/aladdin-1992,https://assets.scriptslug.com/live/pdf/scripts/aladdin-1992.pdf?v=1729114855
Alex Cross,https://www.scriptslug.com/script/alex-cross-2012,https://assets.scriptslug.com/live/pdf/scripts/alex-cross-2012.pdf?v=1729114855
Ali,https://www.scriptslug.com/script/ali-2001,https://assets.scriptslug.com/live/pdf/scripts/ali-2001.pdf?v=1729114855
Alien,https://www.scriptslug.com/script/alien-1979,https://assets.scriptslug.com/live/pdf/scripts/alien-1979.pdf?v=1729114856
Alien 3,https://www.scriptslug.com/script/alien-3-1992,https://assets.scriptslug.com/live/pdf/scripts/alien-3-1992.pdf?v=1729114856
"Alien
Covenant",https://www.scriptslug.com/script/alien-covenant-2017,https://assets.scriptslug.com/live/pdf/scripts/alien-covenant-2017.pdf?v=1729114856
Alien Resurrection,https://www.scriptslug.com/script/alien-resurrection-1997,https://assets.scriptslug.com/live/pdf/scripts/alien-resurrection-1997.pdf?v=1729114856
"Alien vs. Predator
Requiem",https://www.scriptslug.com/script/alien-vs-predator-requiem-2007,https://assets.scriptslug.com/live/pdf/scripts/alien-vs-predator-requiem-2007.pdf?v=1729114856
Aliens,https://www.scriptslug.com/script/aliens-1985,https://assets.scriptslug.com/live/pdf/scripts/aliens-1986.pdf?v=1729114856
Aligarh,https://www.scriptslug.com/script/aligarh-2015,https://assets.scriptslug.com/live/pdf/scripts/aligarh-2015.pdf?v=1729114856
All About Eve,https://www.scriptslug.com/script/all-about-eve-1950,https://assets.scriptslug.com/live/pdf/scripts/all-about-eve-1950.pdf?v=1729114856
All Is Lost,https://www.scriptslug.com/script/all-is-lost-2013,https://assets.scriptslug.com/live/pdf/scripts/all-is-lost-2013.pdf?v=1729114856
All is True,https://www.scriptslug.com/script/all-is-true-2018,https://assets.scriptslug.com/live/pdf/scripts/all-is-true-2018.pdf?v=1729114856
All of Us Strangers,https://www.scriptslug.com/script/all-of-us-strangers-2023,https://assets.scriptslug.com/live/pdf/scripts/all-of-us-strangers-2023.pdf?v=1729114857
All Quiet on the Western Front,https://www.scriptslug.com/script/all-quiet-on-the-western-front-2022,https://assets.scriptslug.com/live/pdf/scripts/all-quiet-on-the-western-front-2022.pdf?v=1729114857
All the Boy Love Mandy Lane,https://www.scriptslug.com/script/all-the-boy-love-mandy-lane-2006,https://assets.scriptslug.com/live/pdf/scripts/all-the-boys-love-mandy-lane-2006.pdf?v=1729114857
All the Money in the World,https://www.scriptslug.com/script/all-the-money-in-the-world-2017,https://assets.scriptslug.com/live/pdf/scripts/all-the-money-in-the-world-2017.pdf?v=1729114857
All the Old Knives,https://www.scriptslug.com/script/all-the-old-knives-2022,https://assets.scriptslug.com/live/pdf/scripts/all-the-old-knives-2022.pdf?v=1729114857
All the President's Men,https://www.scriptslug.com/script/all-the-presidents-men-1976,https://assets.scriptslug.com/live/pdf/scripts/all-the-presidents-men-1976.pdf?v=1729114857
Almost Famous,https://www.scriptslug.com/script/almost-famous-2000,https://assets.scriptslug.com/live/pdf/scripts/almost-famous-2000.pdf?v=1729114857
Altered States,https://www.scriptslug.com/script/altered-states-1980,https://assets.scriptslug.com/live/pdf/scripts/altered-states-1980.pdf?v=1729114857
Amadeus,https://www.scriptslug.com/script/amadeus-1984,https://assets.scriptslug.com/live/pdf/scripts/amadeus-1984.pdf?v=1729114857
Ambulance,https://www.scriptslug.com/script/ambulance-2022,https://assets.scriptslug.com/live/pdf/scripts/ambulance-2022.pdf?v=1729114857
The American,https://www.scriptslug.com/script/the-american-2010,https://assets.scriptslug.com/live/pdf/scripts/the-american-2010.pdf?v=1729115006
American Animals,https://www.scriptslug.com/script/american-animals-2018,https://assets.scriptslug.com/live/pdf/scripts/american-animals-2018.pdf?v=1729114858
American Beauty,https://www.scriptslug.com/script/american-beauty-1999,https://assets.scriptslug.com/live/pdf/scripts/american-beauty-1999.pdf?v=1729114858
American Fiction,https://www.scriptslug.com/script/american-fiction-2023,https://assets.scriptslug.com/live/pdf/scripts/american-fiction-2023.pdf?v=1729114858
American Graffiti,https://www.scriptslug.com/script/american-graffiti-1973,https://assets.scriptslug.com/live/pdf/scripts/american-graffiti-1973.pdf?v=1729114858
American Hustle,https://www.scriptslug.com/script/american-hustle-2013,https://assets.scriptslug.com/live/pdf/scripts/american-hustle-2013.pdf?v=1729114858
