movie_name_conventioned,scrapping_url,scrapping_url_extension
Amélie,https://assets.scriptslug.com/live/pdf/scripts/amelie-2001.pdf?v=1729114858,pdf
An Affair To Remember,https://assets.scriptslug.com/live/pdf/scripts/an-affair-to-remember-1957.pdf?v=1729114859,pdf
An American Werewolf In London,https://assets.scriptslug.com/live/pdf/scripts/an-american-werewolf-in-london-1981.pdf?v=1729114859,pdf
An Education,https://imsdb.com//scripts//An-Education.html,html
An Unmarried Woman,https://assets.scriptslug.com/live/pdf/scripts/an-unmarried-woman-1978.pdf?v=1729114859,pdf
Anaconda,https://assets.scriptslug.com/live/pdf/scripts/anaconda-1997.pdf?v=1729114859,pdf
Analyze That,https://assets.scriptslug.com/live/pdf/scripts/analyze-that-2002.pdf?v=1729114860,pdf
Analyze This,https://assets.scriptslug.com/live/pdf/scripts/analyze-this-1999.pdf?v=1729114860,pdf
Anastasia,https://assets.scriptslug.com/live/pdf/scripts/anastasia-1997.pdf?v=1729114860,pdf
Anatomy Of A Fall,https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-fall-2023.pdf?v=1729114860,pdf
Anatomy Of A Murder,https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-murder-1959.pdf?v=1729114860,pdf
Anchorman The Legend Of Ron Burgundy,https://assets.scriptslug.com/live/pdf/scripts/anchorman-the-legend-of-ron-burgundy-2004.pdf?v=1729114860,pdf
Angel Eyes,https://assets.scriptslug.com/live/pdf/scripts/angel-eyes-2001.pdf?v=1729114860,pdf
Angels With Dirty Faces,https://assets.scriptslug.com/live/pdf/scripts/angels-with-dirty-faces-1938.pdf?v=1729114860,pdf
Anger Management,https://assets.scriptslug.com/live/pdf/scripts/anger-management-2003.pdf?v=1729114860,pdf
Animal Kingdom,https://assets.scriptslug.com/live/pdf/scripts/animal-kingdom-2010.pdf?v=1729114860,pdf
Anna Karenina,https://imsdb.com//scripts//Anna-Karenina.html,html
Annabelle,https://assets.scriptslug.com/live/pdf/scripts/annabelle-2014.pdf?v=1729114861,pdf
Annette,https://assets.scriptslug.com/live/pdf/scripts/annette-2021.pdf?v=1729114861,pdf
Annie Hall,https://assets.scriptslug.com/live/pdf/scripts/annie-hall-1977.pdf?v=1729114861,pdf
Annihilation,https://assets.scriptslug.com/live/pdf/scripts/annihilation-2018.pdf?v=1729114861,pdf
Anonymous,https://imsdb.com//scripts//Anonymous.html,html
Anora,https://assets.scriptslug.com/live/pdf/scripts/anora-2024.pdf?v=1738462640,pdf
Another 48 Hrs,https://assets.scriptslug.com/live/pdf/scripts/another-48-hrs-1990.pdf?v=1729114861,pdf
Another Year,https://assets.scriptslug.com/live/pdf/scripts/another-year-2010.pdf?v=1729114861,pdf
Antebellum,https://assets.scriptslug.com/live/pdf/scripts/antebellum-2020.pdf?v=1729114861,pdf
Anthropoid,https://assets.scriptslug.com/live/pdf/scripts/anthropoid-2016.pdf?v=1729114861,pdf
Antitrust,https://imsdb.com//scripts//Antitrust.html,html
Antz,https://imsdb.com//scripts//Antz.html,html
Any Given Sunday,https://assets.scriptslug.com/live/pdf/scripts/any-given-sunday-1999.pdf?v=1729114861,pdf
Apocalypse Now,https://assets.scriptslug.com/live/pdf/scripts/apocalypse-now-1979.pdf?v=1729114861,pdf
April Fools Day,https://imsdb.com//scripts//April-Fool's-Day.html,html
Apt Pupil,https://imsdb.com//scripts//Apt-Pupil.html,html
Arbitrage,https://imsdb.com//scripts//Arbitrage.html,html
Arcade,https://imsdb.com//scripts//Arcade.html,html
Arctic Blue,https://imsdb.com//scripts//Arctic-Blue.html,html
Argentina 1985,https://assets.scriptslug.com/live/pdf/scripts/argentina-1985-2022.pdf?v=1729114862,pdf
Argo,https://assets.scriptslug.com/live/pdf/scripts/argo-2012.pdf?v=1729114862,pdf
Armageddon,https://assets.scriptslug.com/live/pdf/scripts/armageddon-1998.pdf?v=1729114862,pdf
Armageddon Time,https://assets.scriptslug.com/live/pdf/scripts/armageddon-time-2022.pdf?v=1729114862,pdf
Armed And Dangerous,https://assets.scriptslug.com/live/pdf/scripts/armed-and-dangerous-1986.pdf?v=1729114862,pdf
Army Of Darkness,https://assets.scriptslug.com/live/pdf/scripts/army-of-darkness-1992.pdf?v=1729114862,pdf
Arrival,https://assets.scriptslug.com/live/pdf/scripts/arrival-2016.pdf?v=1729114862,pdf
Arsenic And Old Lace,https://imsdb.com//scripts//Arsenic-and-Old-Lace.html,html
Arthur,https://imsdb.com//scripts//Arthur.html,html
As Good As It Gets,https://assets.scriptslug.com/live/pdf/scripts/as-good-as-it-gets-1997.pdf?v=1729114862,pdf
Ask The Dust,https://assets.scriptslug.com/live/pdf/scripts/ask-the-dust-2006.pdf?v=1729114863,pdf
Assassination Nation,https://assets.scriptslug.com/live/pdf/scripts/assassination-nation-2018.pdf?v=1729114863,pdf
Assassins,https://imsdb.com//scripts//Assassins.html,html
Assault On Precinct 13,https://assets.scriptslug.com/live/pdf/scripts/assault-on-prisinct-13-2005.pdf?v=1729114863,pdf
Asteroid City,https://assets.scriptslug.com/live/pdf/scripts/asteroid-city-2023.pdf?v=1729114863,pdf
At First Sight,https://imsdb.com//scripts//At-First-Sight.html,html
Atomic Blonde,https://assets.scriptslug.com/live/pdf/scripts/atomic-blonde-2017.pdf?v=1729114863,pdf
Attack The Block,https://assets.scriptslug.com/live/pdf/scripts/attack-the-block-2011.pdf?v=1729114863,pdf
Audrey Rose,https://assets.scriptslug.com/live/pdf/scripts/audrey-rose-1977.pdf?v=1729114864,pdf
August Osage County,https://assets.scriptslug.com/live/pdf/scripts/august-osage-county-2013.pdf?v=1729114864,pdf
Austin Powers International Man Of Mystery,https://imsdb.com//scripts//Austin-Powers---International-Man-of-Mystery.html,html
Austin Powers The Spy Who Shagged Me,https://imsdb.com//scripts//Austin-Powers---The-Spy-Who-Shagged-Me.html,html
Authors Anonymous,https://imsdb.com//scripts//Authors-Anonymous.html,html
Autumn In New York,https://imsdb.com//scripts//Autumn-in-New-York.html,html
Avatar,https://assets.scriptslug.com/live/pdf/scripts/avatar-2009.pdf?v=1729114864,pdf
Avengers Endgame,https://assets.scriptslug.com/live/pdf/scripts/avengers-endgame-2019.pdf?v=1729114864,pdf
Avp Alien Vs Predator,https://assets.scriptslug.com/live/pdf/scripts/avp-alien-vs-predator-2004.pdf?v=1729114864,pdf
Avventura L (the Adventure),"https://imsdb.com//scripts//Avventura,-L'-(The-Adventure).html",html
Awakenings,https://imsdb.com//scripts//Awakenings.html,html
Babel,https://imsdb.com//scripts//Babel.html,html
Baby Boy,https://assets.scriptslug.com/live/pdf/scripts/baby-boy-2001.pdf?v=1729114864,pdf
