name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
Amadeus,amadeus,Amadeus,https://www.dailyscript.com/scripts/amadeus.html,html,amadeus,both,,,
Amelia,amelia,,,,,left_only,,,
American Beauty,americanbeauty,American Beauty,https://www.dailyscript.com/scripts/American%20Beauty.txt,txt,americanbeauty,both,,,
American Fiction,americanfiction,,,,,left_only,,,
American Gangster,americangangster,,,,,left_only,,,
American Graffiti,americangraffiti,American Graffiti,https://www.dailyscript.com/scripts/American%20Graffiti.txt,txt,americangraffiti,both,,,
American History X,americanhistoryx,,,,,left_only,,,
American Hustle,americanhustle,,,,,left_only,,,
American Madness,americanmadness,American Madness,https://www.dailyscript.com/scripts/American_Madness.html,html,americanmadness,both,,,
American Milkshake,americanmilkshake,,,,,left_only,,,
American Outlaws,americanoutlaws,American Outlaws,https://www.dailyscript.com/scripts/American_Outlaws.html,html,americanoutlaws,both,,,
American Pie,americanpie,American Pie,https://www.dailyscript.com/scripts/american-pie_production.html,html,americanpie,both,,,
American Psycho,americanpsycho,American Psycho,https://www.dailyscript.com/scripts/American_Psycho_Harron_Turner.html,html,americanpsycho,both,,,
American Shaolin: King of Kickboxers II,americanshaolinkingofkickboxers2,,,,,left_only,,,
American Sniper,americansniper,,,,,left_only,,,
American Splendor,americansplendor,American Splendor,https://www.dailyscript.com/scripts/American_Splendor.pdf,pdf,americansplendor,both,,,
American Werewolf in London,americanwerewolfinlondon,,,,,left_only,,,
A Million Miles Away,amillionmilesaway,,,,,left_only,,,
A Most Violent Year,amostviolentyear,A Most Violent Year,https://www.dailyscript.com/scripts/AMVY+Script.pdf,pdf,amostviolentyear,both,,,
Amour,amour,,,,,left_only,,,
Analyze That,analyzethat,,,,,left_only,,,
Analyze This,analyzethis,,,,,left_only,,,
Anastasia,anastasia,,,,,left_only,,,
An Education,aneducation,,,,,left_only,,,
Angel Eyes,angeleyes,Angel Eyes,https://www.dailyscript.com/scripts/Angel_Eyes.PDF,pdf,angeleyes,both,,,
Angels & Demons,angels&demons,,,,,left_only,Angels & Demons,HTML len = 0 : no content scrapped,angels&demons
Anna Karenina,annakarenina,,,,,left_only,,,
Annie Hall,anniehall,Annie Hall,https://www.dailyscript.com/scripts/Annie%20Hall.txt,txt,anniehall,both,,,
Anonymous,anonymous,,,,,left_only,,,
Anora,anora,,,,,left_only,,,
